analysis_date,market_return_sum,market_valid_stock_count,unresolved_open_stock_count,suspension_zero_stock_count,panel_stock_count,market_holding_return_ew,market_trailing_return_60d,market_trailing_vol_60d,market_vol_threshold_pit,market_trend_regime,market_vol_regime,joint_market_regime,time_subsample
2020-04-30,81.79723368969478,3831,1,62,3832,0.02135140529618762,0.058587016967727,0.28981369668456736,0.2517452607612066,BULL,HIGH_VOL,BULL_HIGH_VOL,P2_2019_2022
2020-05-29,29.786179304602175,3850,0,38,3850,0.007736669949247319,-0.03267790774067511,0.23644941014587242,0.25127334965879294,BEAR,LOW_VOL,BEAR_LOW_VOL,P2_2019_2022
2020-06-30,57.809964747502775,3873,2,41,3875,0.014926404530726252,0.12107654423248086,0.16982053754805243,0.2243705056420054,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2020-07-31,47.53241870447639,3916,5,28,3921,0.012138002733523083,0.21792594878831628,0.23088166992294373,0.21210331887103917,BULL,HIGH_VOL,BULL_HIGH_VOL,P2_2019_2022
2020-08-31,5.702056724213996,3973,1,25,3974,0.001435201793157311,0.20534068435515415,0.24141478169986644,0.21210331887103917,BULL,HIGH_VOL,BULL_HIGH_VOL,P2_2019_2022
2020-09-30,-8.714481113164492,4037,3,26,4040,-0.002158652740442034,-0.009507440191152797,0.2581988153697744,0.2366609299810431,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P2_2019_2022
2020-10-30,-105.61753976049506,4064,2,23,4066,-0.025988567854452527,-0.01870994932380196,0.21326243875990153,0.23836391129886864,BEAR,LOW_VOL,BEAR_LOW_VOL,P2_2019_2022
2020-11-30,-9.853477235058385,4086,0,20,4086,-0.0024115215944832073,-0.03401432380397722,0.19819949963836966,0.23836391129886864,BEAR,LOW_VOL,BEAR_LOW_VOL,P2_2019_2022
2020-12-31,56.7671009776068,4136,3,23,4139,0.013725121126113831,-0.008156218213391296,0.17586561305502485,0.23836391129886864,BEAR,LOW_VOL,BEAR_LOW_VOL,P2_2019_2022
2021-01-29,-59.22451887725762,4169,2,22,4171,-0.014205929210184126,-0.10768551490238791,0.16505353934429384,0.23836391129886864,BEAR,LOW_VOL,BEAR_LOW_VOL,P2_2019_2022
2021-02-26,-16.206671138523507,4196,3,23,4199,-0.0038624097088950206,-0.07570555016369954,0.18453816539450482,0.23578478216348198,BEAR,LOW_VOL,BEAR_LOW_VOL,P2_2019_2022
2021-03-31,10.087226376896473,4231,2,19,4233,0.0023841234641683935,-0.00017293674833011304,0.19530784407912805,0.21321027790955088,BEAR,LOW_VOL,BEAR_LOW_VOL,P2_2019_2022
2021-04-30,-33.219255462787714,4283,3,48,4286,-0.007756071786782095,0.039342824723107704,0.1745212809795335,0.20391822313665045,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2021-05-31,54.62936594351191,4323,1,14,4324,0.012636910928408953,0.071852579975135,0.14060977280536363,0.19960707283697046,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2021-06-30,30.403948136221288,4367,5,15,4372,0.006962204748390494,0.10381178208559733,0.1124447705680261,0.19206535082033932,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2021-07-30,39.801130185842226,4412,3,10,4415,0.009021108383010477,0.0866175361098721,0.14083487969301792,0.18819673910758986,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2021-08-31,-3.9725902884191346,4453,1,6,4454,-0.0008921154925711059,0.07906553465807298,0.15891937584915802,0.1782623810654167,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2021-09-30,95.10570373588914,4491,2,14,4493,0.02117695473967694,0.03941164821423641,0.18574963587655555,0.17425354105714796,BULL,HIGH_VOL,BULL_HIGH_VOL,P2_2019_2022
2021-10-29,69.95588965095587,4523,1,5,4524,0.01546670122727302,0.05535950531066224,0.18365024310148956,0.17425354105714796,BULL,HIGH_VOL,BULL_HIGH_VOL,P2_2019_2022
2021-11-30,36.63686392185796,4556,1,8,4557,0.008041453889784451,0.06286109888570032,0.16704668459953162,0.17229444071264674,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2021-12-31,27.590760934740935,4601,1,12,4602,0.005996687879752431,0.09944787694432226,0.14214468594050159,0.16997887125949115,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2022-01-28,55.202222741138286,4628,3,8,4631,0.011927878725397209,0.013206541777986821,0.18351428068001474,0.1670864006072681,BULL,HIGH_VOL,BULL_HIGH_VOL,P2_2019_2022
2022-02-28,1.3570940857094618,4644,2,7,4646,0.0002922252553207282,-0.01388658459834739,0.19918466503449728,0.16946776953480167,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P2_2019_2022
2022-03-31,-9.996031674996061,4679,1,12,4680,-0.002136360691386207,-0.08531584211834109,0.2523318763226,0.17026695132849762,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P2_2019_2022
2022-04-29,206.375082327044,4709,4,35,4713,0.04382567048779868,-0.17706191978919167,0.3237823959232169,0.17026695132849762,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P2_2019_2022
2022-05-31,56.29154716765502,4723,0,37,4723,0.011918599866113704,-0.119933465621026,0.3267834215084519,0.17082614025055534,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P2_2019_2022
2022-06-30,40.613707655930355,4716,2,12,4718,0.008611897297695155,0.009341357400906991,0.297531728788554,0.17640517053481033,BULL,HIGH_VOL,BULL_HIGH_VOL,P2_2019_2022
2022-07-29,-24.904705624286404,4736,3,7,4739,-0.005258594937560474,0.20968749311949722,0.18454373609884908,0.18773093645835234,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2022-08-31,-127.478761258125,4781,5,2,4786,-0.026663618753006695,0.05133290375669548,0.19472813213763537,0.18872308905499718,BULL,HIGH_VOL,BULL_HIGH_VOL,P2_2019_2022
2022-09-30,-60.40903066161961,4825,3,7,4828,-0.012520006354739816,-0.08158782516753219,0.21186252169528885,0.193820052550325,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P2_2019_2022
2022-10-31,55.44753422722166,4849,3,8,4852,0.011434838982722554,-0.08227310261423675,0.23283836559179583,0.19971029111982366,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P2_2019_2022
2022-11-30,-3.8886050437847004,4874,2,1,4876,-0.0007978262297465532,-0.009025042672771398,0.22175422652820279,0.21403782801383867,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P2_2019_2022
2022-12-30,32.01237535255211,4901,3,7,4904,0.006531804805662541,0.07122985157641794,0.1860454839225136,0.21545054136940017,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2023-01-31,14.392177730699341,4909,1,11,4910,0.0029317942005906176,0.11819169099070025,0.14590520264365492,0.21545054136940017,BULL,LOW_VOL,BULL_LOW_VOL,P3_2023_2026
2023-02-28,46.31546945676321,4924,0,8,4924,0.009406066096012024,0.09047375159758853,0.14048485615865638,0.21545054136940017,BULL,LOW_VOL,BULL_LOW_VOL,P3_2023_2026
2023-03-31,46.07829640885148,4945,1,5,4946,0.009318159031112534,0.10870561128178581,0.13571886254703297,0.21440598184587392,BULL,LOW_VOL,BULL_LOW_VOL,P3_2023_2026
2023-04-28,94.05382554760538,4972,0,34,4972,0.018916698621803174,-0.03128938499408208,0.14934497076403827,0.2025750077496421,BEAR,LOW_VOL,BEAR_LOW_VOL,P3_2023_2026
2023-05-31,-9.67188050936887,4994,0,30,4994,-0.0019367001420442273,-0.0465949748684228,0.14222721508883612,0.19585275342986574,BEAR,LOW_VOL,BEAR_LOW_VOL,P3_2023_2026
2023-06-30,59.853711576164756,5015,3,19,5018,0.011934937502724776,0.002032747547627002,0.1466604410111603,0.18672702165558502,BULL,LOW_VOL,BULL_LOW_VOL,P3_2023_2026
2023-07-31,41.55506302792278,5029,0,8,5029,0.008263086702708844,0.028998207724712954,0.12532902662408768,0.16650795371565708,BULL,LOW_VOL,BULL_LOW_VOL,P3_2023_2026
2023-08-31,-24.38179896929535,5049,0,2,5049,-0.00482903524842451,-0.0005778415000507929,0.1511999926492716,0.1468656488435556,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P3_2023_2026
2023-09-28,49.338123390457184,5062,2,6,5064,0.009746764794637926,-0.033957429131313534,0.1522477959045289,0.1468656488435556,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P3_2023_2026
2023-10-31,-18.934163115952604,5070,1,1,5071,-0.003734548938057713,-0.04821932832332888,0.17158860503950055,0.1468656488435556,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P3_2023_2026
2023-11-30,-27.055649481655113,5080,0,1,5080,-0.0053259152522943136,0.01890170913214164,0.15388457024914937,0.1468656488435556,BULL,HIGH_VOL,BULL_HIGH_VOL,P3_2023_2026
2023-12-29,76.46815766949626,5094,1,7,5095,0.015011416896249758,0.004908689692398954,0.1604471213986167,0.1468656488435556,BULL,HIGH_VOL,BULL_HIGH_VOL,P3_2023_2026
2024-01-31,-241.5831943650637,5103,0,4,5103,-0.04734140591124117,-0.2012094824065306,0.23688852298888552,0.1468656488435556,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P3_2023_2026
2024-02-29,191.74147790509335,5107,0,6,5107,0.03754483608872006,-0.1654572287329889,0.3918016021806865,0.14932306950095953,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P3_2023_2026
2024-03-29,63.570737550900105,5111,0,4,5111,0.012438023390901996,-0.06762110217950956,0.40966100048447124,0.15197406650550882,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P3_2023_2026
2024-04-30,-31.323644986314935,5112,0,61,5112,-0.006127473588872248,-0.026445494509835892,0.43367136400857215,0.1539810434889009,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P3_2023_2026
2024-05-31,35.024925323139215,5114,0,24,5114,0.006848831701826205,0.003352496782576062,0.28375895193282535,0.15831991437143011,BULL,HIGH_VOL,BULL_HIGH_VOL,P3_2023_2026
