signal_type,factor_order,factor_name,neutralization,window,target_name,regime_type,regime_value,month_count,sufficient_regime_months,first_date,last_date,mean_alpha_ic,median_alpha_ic,std_alpha_ic,positive_share,negative_share,naive_se,naive_t_stat,calendar_hac_lag,calendar_hac_se,calendar_hac_t_stat,mean_pair_n,full_sample_alpha_ic,same_sign_as_full_sample,abs_retention_vs_full
ALPHA_IC,6,delta_cross_industry_degree_percentile_1m,RAW,252,future_excess_return,MARKET_VOL,HIGH_VOL,61,True,2016-02-29,2026-07-31,-0.0006788093402789302,0.0012549932065059,0.054130539472675036,0.5245901639344263,0.47540983606557374,0.00693070538316578,-0.09794231651048285,3,0.006749411411462151,-0.10057311651296674,3950.065573770492,0.002500401661542384,False,
ALPHA_IC,6,delta_cross_industry_degree_percentile_1m,RAW,252,future_excess_return,JOINT_MARKET_REGIME,BEAR_HIGH_VOL,40,True,2016-02-29,2026-07-31,0.0023209548885440197,0.0086282186604587,0.05266877034706987,0.575,0.425,0.008327663792853891,0.2787042015956108,3,0.008164075485326909,0.2842887590536632,3739.45,0.002500401661542384,True,
ALPHA_IC,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,ALL_SAMPLE,ALL,126,True,2016-02-29,2026-07-31,0.007331037480516441,0.0075455980793445,0.031191838112328157,0.6111111111111112,0.3888888888888889,0.002778789797144038,2.6382123210798727,4,0.0028396956444335414,2.581627892019684,3737.5079365079364,0.007331037480516441,True,1.0
ALPHA_IC,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,35,True,2016-02-29,2018-12-28,0.003758876449621232,0.0023507092825031,0.040116935264985186,0.5428571428571428,0.45714285714285713,0.00678099970517414,0.554324821272751,3,0.005753439187264615,0.6533268758522035,2203.342857142857,0.007331037480516441,True,0.5127345835580743
ALPHA_IC,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,MARKET_TREND,BEAR,59,True,2016-02-29,2026-07-31,0.00639291431272223,0.0071678494940729,0.03290611718315293,0.6101694915254238,0.3898305084745763,0.004284011560682055,1.4922728900629803,3,0.003920802627652989,1.63051163749833,3620.6610169491523,0.007331037480516441,True,0.8720340510756569
ALPHA_IC,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,MARKET_VOL,HIGH_VOL,61,True,2016-02-29,2026-07-31,0.007446728939862843,0.0047739792829566,0.036668288313016176,0.5737704918032787,0.4262295081967213,0.004694893228078465,1.5861338220274401,3,0.005011081567745865,1.4860522302798207,3950.065573770492,0.007331037480516441,True,1.0157810486788361
ALPHA_IC,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,JOINT_MARKET_REGIME,BEAR_HIGH_VOL,40,True,2016-02-29,2026-07-31,0.006220354114502646,0.0075455980793445,0.03715606433305348,0.6,0.4,0.005874889609009707,1.0588035739366297,3,0.005662865216370281,1.0984464360057113,3739.45,0.007331037480516441,True,0.8484957457978305
ALPHA_IC,7,neighbor_jaccard_1m,RAW,252,future_excess_return,ALL_SAMPLE,ALL,126,True,2016-02-29,2026-07-31,0.014906260471675249,0.0199580514474733,0.08004249756599205,0.5873015873015873,0.4126984126984127,0.007130752435086414,2.090419013613478,4,0.006292112380463058,2.3690391350858624,3519.0793650793653,0.014906260471675249,True,1.0
ALPHA_IC,7,neighbor_jaccard_1m,RAW,252,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,35,True,2016-02-29,2018-12-28,0.01868207311749691,0.021482415754958,0.082957817939042,0.5428571428571428,0.45714285714285713,0.014022430558835002,1.3322992072673194,3,0.014073903478045227,1.327426548479621,2027.4571428571428,0.014906260471675249,True,1.2533038150645783
ALPHA_IC,7,neighbor_jaccard_1m,RAW,252,future_excess_return,MARKET_TREND,BEAR,59,True,2016-02-29,2026-07-31,0.018300852477370018,0.021482415754958,0.08117367969770972,0.576271186440678,0.423728813559322,0.01056791296015104,1.7317376237274058,3,0.008870625173392335,2.0630848581297165,3404.813559322034,0.014906260471675249,True,1.2277292827496973
ALPHA_IC,7,neighbor_jaccard_1m,RAW,252,future_excess_return,MARKET_VOL,HIGH_VOL,61,True,2016-02-29,2026-07-31,0.015194137015685574,0.013851074368326,0.0870418952363443,0.5737704918032787,0.4262295081967213,0.011144572689507526,1.3633664958720815,3,0.00899299367087238,1.689552730910756,3713.6393442622953,0.014906260471675249,True,1.0193124589871045
ALPHA_IC,7,neighbor_jaccard_1m,RAW,252,future_excess_return,JOINT_MARKET_REGIME,BEAR_HIGH_VOL,40,True,2016-02-29,2026-07-31,0.015612141001175462,0.0155109783253723,0.08999225835303039,0.55,0.45,0.014229025408894461,1.0972038177271386,3,0.011014044276332112,1.4174757799661402,3498.075,0.014906260471675249,True,1.0473546353789753
