window_size,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,windows_selected,total_windows,mean_partial_all_windows,mean_abs_partial_all_windows,persistence,mean_partial_when_selected,mean_abs_partial_when_selected
252,002415,海康威视,电子,600887,伊利股份,食品饮料,False,7,18,0.011174539977484924,0.011174539977484924,0.3888888888888889,0.02873453137067552,0.02873453137067552
252,002415,海康威视,电子,601288,农业银行,银行,False,0,18,0.0,0.0,0.0,,
252,002415,海康威视,电子,601318,中国平安,非银金融,False,10,18,0.06679411276241481,0.06679411276241481,0.5555555555555556,0.12022940297234667,0.12022940297234667
252,002415,海康威视,电子,601398,工商银行,银行,False,0,18,0.0,0.0,0.0,,
252,002415,海康威视,电子,603501,韦尔股份,电子,True,18,18,0.15926906689624698,0.15926906689624698,1.0,0.15926906689624698,0.15926906689624698
252,002460,赣锋锂业,新能源,002475,立讯精密,电子,False,18,18,0.06130038115033983,0.06130038115033983,1.0,0.06130038115033983,0.06130038115033983
252,002460,赣锋锂业,新能源,600030,中信证券,非银金融,False,18,18,0.07595444225910984,0.07595444225910984,1.0,0.07595444225910984,0.07595444225910984
252,002460,赣锋锂业,新能源,600036,招商银行,银行,False,0,18,0.0,0.0,0.0,,
252,002460,赣锋锂业,新能源,600519,贵州茅台,食品饮料,False,3,18,0.0010606907796718453,0.0010606907796718453,0.16666666666666666,0.006364144678031072,0.006364144678031072
252,002460,赣锋锂业,新能源,600887,伊利股份,食品饮料,False,8,18,0.017523163647466727,0.017523163647466727,0.4444444444444444,0.03942711820680014,0.03942711820680014
252,002460,赣锋锂业,新能源,601288,农业银行,银行,False,5,18,-0.005643600882375289,0.005643600882375289,0.2777777777777778,-0.020316963176551038,0.020316963176551038
252,002460,赣锋锂业,新能源,601318,中国平安,非银金融,False,0,18,0.0,0.0,0.0,,
252,002460,赣锋锂业,新能源,601398,工商银行,银行,False,2,18,-0.002420985621186515,0.002420985621186515,0.1111111111111111,-0.021788870590678636,0.021788870590678636
252,002460,赣锋锂业,新能源,603501,韦尔股份,电子,False,12,18,0.05217627718045107,0.05217627718045107,0.6666666666666666,0.07826441577067661,0.07826441577067661
252,002475,立讯精密,电子,600030,中信证券,非银金融,False,8,18,0.027641327000362894,0.027641327000362894,0.4444444444444444,0.06219298575081651,0.06219298575081651
252,002475,立讯精密,电子,600036,招商银行,银行,False,0,18,0.0,0.0,0.0,,
252,002475,立讯精密,电子,600519,贵州茅台,食品饮料,False,0,18,0.0,0.0,0.0,,
