analysis_date,window,density_fraction,density_percent,common_node_count,common_valid_pair_count,edge_budget_k,raw_positive_pair_count,residual_positive_pair_count,raw_edge_threshold,residual_edge_threshold,raw_residual_overlap_count,raw_residual_overlap_fraction,raw_residual_jaccard,common_industry_labeled_pair_count,common_same_industry_pair_share,raw_same_industry_edge_share,residual_same_industry_edge_share,raw_industry_enrichment,residual_industry_enrichment
2017-08-31,60,0.01,1.0,2834,4006678,40066,3761115,1959558,0.7316681146621704,0.4003332555294037,10656,0.26596116407926923,0.15337670562496403,4006678,0.049573736646668386,0.11578395647182149,0.18322268257375332,2.3355906636019697,3.695962720737672
2017-09-29,60,0.01,1.0,2897,4185122,41851,3864133,2050148,0.682945728302002,0.4014279842376709,13861,0.3311987766122673,0.1984650849787374,4185122,0.049354116797550945,0.13765501421710352,0.20228907314042674,2.7891293198855145,4.098727446997183
2017-10-31,60,0.01,1.0,2941,4313349,43133,3855289,2099920,0.5992962121963501,0.3782903552055359,18160,0.42102334639371247,0.26664317387601677,4313349,0.049692709771456005,0.17891173811235017,0.22831706581967404,3.6003618827629094,4.594578699164071
2017-11-30,60,0.01,1.0,2959,4366857,43668,3968319,2162067,0.6280544400215149,0.37011080980300903,15297,0.35030228084638637,0.21234331403822929,4366857,0.049720657214101585,0.1492855179994504,0.21752770907758542,3.002484809414599,4.3749966566389435
2017-12-29,60,0.01,1.0,2995,4475131,44751,4118206,2232545,0.6913356184959412,0.3683817386627197,11240,0.251167571674376,0.14362014770897755,4475131,0.049996972155675445,0.12953900471497842,0.19941453822260954,2.590936993376982,3.9885322975497997
2018-01-31,60,0.01,1.0,3026,4568086,45680,4179553,2256930,0.6663753986358643,0.3739003837108612,12753,0.2791812609457093,0.16223745976821402,4568086,0.050231541175012905,0.13375656742556918,0.20116024518388792,2.6628003898893873,4.00466002990075
2018-02-28,60,0.01,1.0,2961,4372523,43725,4226368,2152518,0.7643531560897827,0.4028717577457428,9045,0.20686106346483704,0.115362540654295,4372523,0.05000476841402549,0.11574614065180103,0.18504288164665522,2.3147020638802958,3.7005047221607335
2018-03-30,60,0.01,1.0,3008,4512431,45124,4402867,2203076,0.7724424600601196,0.4063888490200043,9325,0.2066527790089531,0.11523299927091185,4512431,0.05005284291327668,0.12470082439500044,0.19342256892119494,2.4913834487096267,3.8643672899124972
2018-04-27,60,0.01,1.0,3025,4563774,45637,4475347,2232833,0.7511641979217529,0.40576058626174927,10413,0.22817012511777723,0.12877654246175535,4563774,0.05002657887967283,0.11786489033021452,0.16913907574993975,2.3560453856681023,3.380984259522603
2018-05-31,60,0.01,1.0,3097,4783211,47832,4583186,2357973,0.6926564574241638,0.38344112038612366,13925,0.29112309750794446,0.1703593144031613,4783211,0.05045209170157871,0.12631710988459607,0.21684228131794614,2.503704120569563,4.297983968644076
2018-06-29,60,0.01,1.0,3080,4734395,47343,4635212,2343491,0.7493837475776672,0.38117215037345886,10418,0.22005365101493357,0.1236293729529596,4734395,0.05023302871855855,0.11059713157172127,0.20704222377120166,2.2016815309179485,4.121635287635167
2018-07-31,60,0.01,1.0,3166,5006518,50065,4917591,2470987,0.7802624702453613,0.38388100266456604,9981,0.19936083091980425,0.11071670234833443,5006518,0.05031121430103717,0.10783980824927594,0.23167881753720163,2.143454689922935,4.604914048604578
2018-08-31,60,0.01,1.0,3263,5320405,53204,5240648,2639011,0.8001567125320435,0.3856135308742523,10651,0.20019171490865348,0.11122946625311987,5320405,0.050478112098609036,0.09937222765205624,0.2082550184196677,1.968620130997223,4.125649905702522
2018-09-28,60,0.01,1.0,3334,5554938,55549,5414338,2751488,0.7183728218078613,0.38027533888816833,13287,0.2391942249185404,0.1358436167711198,5554938,0.05051271499339867,0.12714900358242273,0.2253145871212803,2.5171682733553205,4.460551905608833
