trade_date,window,min_valid_ratio,required_valid_days,current_universe_count,eligible_stock_count,eligible_stock_ratio,p_over_w,possible_pair_count,dense_matrix_memory_mb_float64,covariance_dimensionally_singular,covariance_rank_upper_bound,minimum_rank_deficiency,eligible_jaccard_vs_previous_day,entered_count,exited_count
2024-07-25,120,0.9,108,5105,5061,0.9913809990205681,42.175,12804330,195.41718292236328,True,119,4942,0.9996048211815847,2.0,0.0
2024-07-25,120,0.95,114,5105,5047,0.9886385896180215,42.05833333333333,12733581,194.33753204345703,True,119,4928,0.9998019017432647,0.0,1.0
2024-07-26,120,0.8,96,5106,5070,0.9929494712103408,42.25,12849915,196.11282348632812,True,119,4951,0.9998028002366397,0.0,1.0
2024-07-26,120,0.9,108,5106,5061,0.9911868390129259,42.175,12804330,195.41718292236328,True,119,4942,1.0,0.0,0.0
2024-07-26,120,0.95,114,5106,5044,0.9878574226400313,42.03333333333333,12718446,194.1065673828125,True,119,4925,0.9994055874777096,0.0,3.0
2024-07-29,120,0.8,96,5105,5068,0.9927522037218414,42.233333333333334,12839778,195.9581298828125,True,119,4949,0.9996055226824457,0.0,2.0
2024-07-29,120,0.9,108,5105,5061,0.9913809990205681,42.175,12804330,195.41718292236328,True,119,4942,1.0,0.0,0.0
2024-07-29,120,0.95,114,5105,5044,0.988050930460333,42.03333333333333,12718446,194.1065673828125,True,119,4925,0.999603567888999,1.0,1.0
2024-07-30,120,0.8,96,5105,5067,0.9925563173359452,42.225,12834711,195.88080596923828,True,119,4948,0.999802683504341,0.0,1.0
2024-07-30,120,0.9,108,5105,5061,0.9913809990205681,42.175,12804330,195.41718292236328,True,119,4942,1.0,0.0,0.0
2024-07-30,120,0.95,114,5105,5044,0.988050930460333,42.03333333333333,12718446,194.1065673828125,True,119,4925,1.0,0.0,0.0
2024-07-31,120,0.8,96,5106,5066,0.9921660791226009,42.21666666666667,12829645,195.80349731445312,True,119,4947,0.9998026445628577,0.0,1.0
2024-07-31,120,0.9,108,5106,5061,0.9911868390129259,42.175,12804330,195.41718292236328,True,119,4942,1.0,0.0,0.0
2024-07-31,120,0.95,114,5106,5043,0.9876615746180963,42.025,12713403,194.02960968017578,True,119,4924,0.9998017446471055,0.0,1.0
2024-08-01,120,0.8,96,5107,5065,0.9917759937340904,42.208333333333336,12824580,195.72620391845703,True,119,4946,0.9998026056060008,0.0,1.0
2024-08-01,120,0.9,108,5107,5061,0.990992755042099,42.175,12804330,195.41718292236328,True,119,4942,1.0,0.0,0.0
