design,window_size,step,replacement_ratio,overlap_ratio,window_id,window_start,network_date,edge_count,density,same_edges,cross_edges,same_industry_ratio,mean_abs_partial
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,33,2025-11-24,2026-06-03,39,0.37142857142857144,17,22,0.4358974358974359,0.12312777771713956
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,34,2025-12-08,2026-06-17,38,0.3619047619047619,17,21,0.4473684210526316,0.12881096284219157
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,35,2025-12-22,2026-07-02,41,0.3904761904761905,18,23,0.43902439024390244,0.12392455809529582
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,36,2026-01-07,2026-07-16,39,0.37142857142857144,18,21,0.46153846153846156,0.1316654850913186
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,37,2026-01-21,2026-07-30,46,0.4380952380952381,19,27,0.41304347826086957,0.11828714186730042
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,1,2024-01-17,2025-02-07,59,0.5619047619047619,19,40,0.3220338983050847,0.10770560109957596
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,2,2024-02-22,2025-03-07,55,0.5238095238095238,19,36,0.34545454545454546,0.11502588752054779
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,3,2024-03-21,2025-04-07,55,0.5238095238095238,19,36,0.34545454545454546,0.11586459666479408
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,4,2024-04-22,2025-05-08,55,0.5238095238095238,19,36,0.34545454545454546,0.11550307570516072
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,5,2024-05-23,2025-06-06,54,0.5142857142857142,19,35,0.35185185185185186,0.11845872384508555
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,6,2024-06-21,2025-07-04,53,0.5047619047619047,19,34,0.3584905660377358,0.12071779002504857
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,7,2024-07-19,2025-08-01,55,0.5238095238095238,19,36,0.34545454545454546,0.11644867086478378
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,8,2024-08-16,2025-08-29,54,0.5142857142857142,19,35,0.35185185185185186,0.1178053132468721
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,9,2024-09-13,2025-09-26,53,0.5047619047619047,19,34,0.3584905660377358,0.11930047076736681
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,10,2024-10-22,2025-11-03,44,0.41904761904761906,19,25,0.4318181818181818,0.13036903935687852
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,11,2024-11-19,2025-12-01,45,0.42857142857142855,18,27,0.4,0.12652500038229203
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,12,2024-12-17,2025-12-29,42,0.4,19,23,0.4523809523809524,0.13021043078647546
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,13,2025-01-15,2026-01-28,39,0.37142857142857144,18,21,0.46153846153846156,0.13562406470370544
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,14,2025-02-20,2026-03-05,44,0.41904761904761906,19,25,0.4318181818181818,0.12193554376190147
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,15,2025-03-20,2026-04-02,43,0.4095238095238095,19,24,0.4418604651162791,0.12634309492416418
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,16,2025-04-18,2026-05-06,40,0.38095238095238093,19,21,0.475,0.12360503368267946
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,17,2025-05-21,2026-06-03,41,0.3904761904761905,18,23,0.43902439024390244,0.11465745564560939
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,18,2025-06-19,2026-07-02,39,0.37142857142857144,18,21,0.46153846153846156,0.12489539657219527
fixed_overlap,252,20,0.07936507936507936,0.9206349206349207,19,2025-07-17,2026-07-30,41,0.3904761904761905,19,22,0.4634146341463415,0.12394685041859885
fixed_overlap,504,40,0.07936507936507936,0.9206349206349207,1,2023-01-04,2025-02-07,57,0.5428571428571428,18,39,0.3157894736842105,0.10482475872373165
fixed_overlap,504,40,0.07936507936507936,0.9206349206349207,2,2023-03-08,2025-04-07,57,0.5428571428571428,19,38,0.3333333333333333,0.10595842795138226
fixed_overlap,504,40,0.07936507936507936,0.9206349206349207,3,2023-05-09,2025-06-06,58,0.5523809523809524,19,39,0.3275862068965517,0.10488091477443497
fixed_overlap,504,40,0.07936507936507936,0.9206349206349207,4,2023-07-06,2025-08-01,56,0.5333333333333333,19,37,0.3392857142857143,0.10905731559038088
fixed_overlap,504,40,0.07936507936507936,0.9206349206349207,5,2023-08-31,2025-09-26,52,0.49523809523809526,19,33,0.36538461538461536,0.11651824781798673
fixed_overlap,504,40,0.07936507936507936,0.9206349206349207,6,2023-11-03,2025-12-01,52,0.49523809523809526,19,33,0.36538461538461536,0.11580903966947481
fixed_overlap,504,40,0.07936507936507936,0.9206349206349207,7,2023-12-29,2026-01-28,53,0.5047619047619047,19,34,0.3584905660377358,0.11284932044360772
fixed_overlap,504,40,0.07936507936507936,0.9206349206349207,8,2024-03-05,2026-04-02,54,0.5142857142857142,19,35,0.35185185185185186,0.11060649607575358
fixed_overlap,504,40,0.07936507936507936,0.9206349206349207,9,2024-05-07,2026-06-03,55,0.5238095238095238,19,36,0.34545454545454546,0.10616537124311252
fixed_overlap,504,40,0.07936507936507936,0.9206349206349207,10,2024-07-03,2026-07-30,50,0.47619047619047616,19,31,0.38,0.11507317372819842
