factor_order,factor_name,neutralization,window,month_count,mean_q1_return,mean_q5_return,mean_q5_minus_q1,mean_q5_minus_q1_bps,positive_spread_share,negative_spread_share,mean_portfolio_spearman,hac_lag,hac_spread_se,hac_spread_t_stat
7,neighbor_jaccard_1m,RAW,120,121,-0.0018640415514259649,-0.0013000687230605437,0.0005639728283654218,5.639728283654217,0.5206611570247934,0.4793388429752066,0.03719008264462809,4,0.0019071548449078731,0.2957142310029184
7,neighbor_jaccard_1m,RAW,252,120,-0.001736297791043261,0.0006958034463529353,0.0024321012373961968,24.321012373961967,0.575,0.425,0.11,4,0.0016743305743295495,1.4525812731873935
8,neighbor_retention_1m,INDUSTRY_NEUTRAL,60,135,-0.0022041815556818993,-0.0008540326943927573,0.0013501488612891425,13.501488612891425,0.5185185185185185,0.48148148148148145,0.01703703703703704,4,0.0012846117440463833,1.051017062195247
8,neighbor_retention_1m,INDUSTRY_NEUTRAL,120,132,-0.0024034161817604585,-0.0009657613168859503,0.0014376548648745077,14.376548648745077,0.553030303030303,0.44696969696969696,0.04318181818181818,4,0.0011443190019934392,1.2563409874082911
8,neighbor_retention_1m,INDUSTRY_NEUTRAL,252,126,-0.0018746696054336405,-0.0003066512319875756,0.0015680183734460649,15.680183734460648,0.5317460317460317,0.46825396825396826,0.04603174603174603,4,0.0010453813684514108,1.4999486510543698
8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,60,135,-0.0033455799295912117,-0.00018268389736972456,0.0031628960322214864,31.628960322214866,0.5851851851851851,0.4148148148148148,0.08296296296296296,4,0.0014725180665995832,2.1479505779684005
8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,120,132,-0.0028230104745353484,0.00019142041644395867,0.0030144308909793066,30.144308909793065,0.6060606060606061,0.3939393939393939,0.10909090909090909,4,0.0012075857158924945,2.496245898993117
8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,252,126,-0.002249529772366984,0.0006110625986343158,0.0028605923710012986,28.605923710012988,0.49206349206349204,0.5079365079365079,0.11825396825396822,4,0.001229194928812544,2.3272080806294535
8,neighbor_retention_1m,RAW,60,121,-0.002313850308504224,-0.001066091285132358,0.0012477590233718663,12.477590233718663,0.48760330578512395,0.512396694214876,0.010743801652892557,4,0.0018066556700636798,0.6906457295915641
8,neighbor_retention_1m,RAW,120,127,-0.0014101584986098267,-0.0010624933269358144,0.00034766517167401245,3.4766517167401245,0.49606299212598426,0.5039370078740157,-0.014960629921259844,4,0.0016859211026336361,0.20621675067173226
8,neighbor_retention_1m,RAW,252,105,-0.0005401356552340101,0.0005306179149818663,0.0010707535702158765,10.707535702158765,0.5428571428571428,0.45714285714285713,0.05714285714285713,4,0.001385818988397346,0.7726503816015451
9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,60,136,-0.0016356213603905643,-0.002676575836060234,-0.0010409544756696696,-10.409544756696697,0.5,0.5,0.035294117647058816,4,0.0019568997418574698,-0.5319406270050432
9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,120,133,-0.0012541169819667805,-0.0022214300322493615,-0.0009673130502825811,-9.67313050282581,0.5112781954887218,0.48872180451127817,-0.027819548872180445,4,0.0019542907396809155,-0.4949688552689545
9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,252,127,-0.0011164389201603223,-0.0010776709910779883,3.876792908233368e-05,0.3876792908233368,0.5039370078740157,0.49606299212598426,0.01653543307086613,4,0.0017530190138673996,0.022114950708267748
9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,136,-0.0029661026724523447,-0.0017623895955360162,0.0012037130769163285,12.037130769163285,0.5441176470588235,0.45588235294117646,0.05220588235294117,4,0.0015795091058090746,0.7620804922803839
9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,120,133,-0.002940410674259038,-0.0008271867383162363,0.0021132239359428024,21.132239359428024,0.556390977443609,0.44360902255639095,0.056390977443609,4,0.0016485873674832769,1.2818392143625588
9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,127,-0.003215833303549226,0.0003141789052509813,0.003530012208800206,35.30012208800206,0.6141732283464567,0.3858267716535433,0.14015748031496061,4,0.00165908402442321,2.1276874207907794
9,outside_community_degree_percentile,RAW,60,116,-0.0012875740917124155,-0.0033432916513013414,-0.002055717559588926,-20.55717559588926,0.5086206896551724,0.49137931034482757,-0.0025862068965517284,4,0.003521570841355756,-0.5837501649682854
9,outside_community_degree_percentile,RAW,120,91,0.0006491667424491662,-0.003428280893563819,-0.004077447636012987,-40.77447636012987,0.42857142857142855,0.5714285714285714,-0.11208791208791206,3,0.0034560106395333545,-1.1798133921727572
9,outside_community_degree_percentile,RAW,252,20,-0.00017418819780169262,-0.0008168982074484206,-0.0006427100096467287,-6.427100096467288,0.6,0.4,-0.039999999999999994,2,0.00618624555626404,-0.10389338796872304
