analysis_date,window,factor_order,factor_name,neutralization,target_name,pair_n,risk_rank_ic,ic_status
2015-05-29,60,4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_max_drawdown,1898,0.07578035538374929,PASS
2015-05-29,60,4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_idio_vol_annualized,1898,0.04937528055999623,PASS
2015-05-29,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,1898,0.003435985588630847,PASS
2015-05-29,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,1898,0.0484439953057757,PASS
2015-05-29,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,1898,0.05778577457885956,PASS
2015-05-29,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,1898,0.039293217038833914,PASS
2015-05-29,60,5,delta_residual_degree_percentile_1m,RAW,future_realized_vol_annualized,1819,-0.009972989218827479,PASS
2015-05-29,60,5,delta_residual_degree_percentile_1m,RAW,future_downside_vol_annualized,1819,0.029748701460157456,PASS
2015-05-29,60,5,delta_residual_degree_percentile_1m,RAW,future_max_drawdown,1819,0.015982063906221193,PASS
2015-05-29,60,5,delta_residual_degree_percentile_1m,RAW,future_idio_vol_annualized,1819,0.006805495834990238,PASS
2015-05-29,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_realized_vol_annualized,1819,-0.035579798506040844,PASS
2015-05-29,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_downside_vol_annualized,1819,-0.003386139131422808,PASS
2015-05-29,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_max_drawdown,1819,-0.007827594900224907,PASS
2015-05-29,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_idio_vol_annualized,1819,-0.013061814367527621,PASS
2015-05-29,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,1819,-0.028553985094798603,PASS
2015-05-29,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,1819,0.002658856533689135,PASS
2015-05-29,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,1819,-0.003723993453975985,PASS
2015-05-29,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,1819,-0.010968362332519075,PASS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_realized_vol_annualized,1819,-0.01711089394116709,PASS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_downside_vol_annualized,1819,0.01040173523755635,PASS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_max_drawdown,1819,-0.0003288561997898032,PASS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_idio_vol_annualized,1819,0.017839816034885752,PASS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_realized_vol_annualized,1819,-0.03822128141845596,PASS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_downside_vol_annualized,1819,-0.01595614924287251,PASS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_max_drawdown,1819,-0.01908254417320438,PASS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_idio_vol_annualized,1819,0.00024379589916695554,PASS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,1819,-0.02839856317637299,PASS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,1819,-0.007164260710136835,PASS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,1819,-0.012928349776443188,PASS
