regime,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,industry_relation,n_regime_windows,windows_selected,persistence,is_core_edge,is_always_edge,mean_partial_when_selected,mean_abs_partial_when_selected,max_abs_partial_when_selected
2,600030,中信证券,非银金融,600887,伊利股份,食品饮料,False,Cross industry,5,5,1.0,True,True,0.06982530711647192,0.06982530711647192,0.1159520248804341
2,600030,中信证券,非银金融,601288,农业银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,600030,中信证券,非银金融,601318,中国平安,非银金融,True,Same industry,5,5,1.0,True,True,0.13633548186419459,0.13633548186419459,0.1981299459708411
2,600030,中信证券,非银金融,601398,工商银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,600030,中信证券,非银金融,603501,韦尔股份,电子,False,Cross industry,5,5,1.0,True,True,0.12848244506855397,0.12848244506855397,0.2084152299792045
2,600036,招商银行,银行,600519,贵州茅台,食品饮料,False,Cross industry,5,5,1.0,True,True,0.051685991463891676,0.051685991463891676,0.0595187380747136
2,600036,招商银行,银行,600887,伊利股份,食品饮料,False,Cross industry,5,0,0.0,False,False,,,
2,600036,招商银行,银行,601288,农业银行,银行,True,Same industry,5,0,0.0,False,False,,,
2,600036,招商银行,银行,601318,中国平安,非银金融,False,Cross industry,5,5,1.0,True,True,0.2547529944373087,0.2547529944373087,0.2665369429559894
2,600036,招商银行,银行,601398,工商银行,银行,True,Same industry,5,5,1.0,True,True,0.12723122679021975,0.12723122679021975,0.1503622623572719
2,600036,招商银行,银行,603501,韦尔股份,电子,False,Cross industry,5,0,0.0,False,False,,,
2,600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,Same industry,5,5,1.0,True,True,0.17967206831333157,0.17967206831333157,0.2402042951540441
2,600519,贵州茅台,食品饮料,601288,农业银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,600519,贵州茅台,食品饮料,601318,中国平安,非银金融,False,Cross industry,5,5,1.0,True,True,0.06376487588188937,0.06376487588188937,0.0748266297920207
2,600519,贵州茅台,食品饮料,601398,工商银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,600519,贵州茅台,食品饮料,603501,韦尔股份,电子,False,Cross industry,5,0,0.0,False,False,,,
2,600887,伊利股份,食品饮料,601288,农业银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,600887,伊利股份,食品饮料,601318,中国平安,非银金融,False,Cross industry,5,4,0.8,True,False,0.035141505835506875,0.035141505835506875,0.041105696526762
