analysis_date,window,factor_name,family,tier,row_count,eligible_count,nonmissing_count,eligible_nonmissing_share,mean,std,q01,q25,median,q75,q99,iqr,unique_count,zero_share,varying,range_violation_count
2017-03-31,60,cross_industry_strength_ratio,industry,auxiliary,2663,2661,2661,1.0,0.8628887747479655,0.15564928084336288,0.3555959765507678,0.7966330037789826,0.9101393903028703,0.9999999679611684,1.0000000428364961,0.2033669641821858,2585,0.0,True,340
2017-04-28,60,cross_industry_strength_ratio,industry,auxiliary,2696,2688,2688,1.0,0.8517738884636017,0.181396567824609,0.2625034850989936,0.7922921987774189,0.9142526179112929,0.9999999730166361,1.0000000421256516,0.20770777423921727,2561,0.0018601190476190475,True,339
2017-05-31,60,cross_industry_strength_ratio,industry,auxiliary,2699,2694,2694,1.0,0.8660905854433898,0.16100457127961967,0.343538723069218,0.8027339635022553,0.9199791883419506,0.999999975960238,1.0000000462705916,0.1972660124579827,2570,0.0003711952487008166,True,355
2017-06-30,60,cross_industry_strength_ratio,industry,auxiliary,2750,2733,2733,1.0,0.8706627637489655,0.15692412817588272,0.3487587428576054,0.8091024795141719,0.9203137200421594,0.9999999776237196,1.0000000437667445,0.1908974981095477,2578,0.0010976948408342481,True,366
2017-07-31,60,cross_industry_strength_ratio,industry,auxiliary,2783,2779,2779,1.0,0.8595165774046222,0.16058146997470737,0.3362214529757555,0.7890333790700645,0.907517851874457,0.9999999682578571,1.0000000441719743,0.21096658918779254,2680,0.0014393666786613889,True,368
2017-08-31,60,cross_industry_strength_ratio,industry,auxiliary,2834,2822,2822,1.0,0.8431367363634313,0.18032534217121424,0.25377458505018297,0.7646416094358746,0.900973396567971,0.9999999702754276,1.000000046467657,0.23535836083955308,2712,0.001417434443656981,True,385
2017-09-29,60,cross_industry_strength_ratio,industry,auxiliary,2897,2886,2886,1.0,0.8143540260467249,0.21093463050205408,0.1543865887746872,0.7255728459407617,0.8829364587687578,0.9999999667692541,1.0000000414393098,0.2744271208284924,2754,0.001386001386001386,True,304
2017-10-31,60,cross_industry_strength_ratio,industry,auxiliary,2941,2940,2940,1.0,0.8028768980472586,0.20897332694211876,0.19631608840365172,0.6951786265743962,0.8737219426089775,0.9674264679717626,1.000000041527828,0.27224784139736635,2873,0.0,True,312
2017-11-30,60,cross_industry_strength_ratio,industry,auxiliary,2959,2956,2956,1.0,0.8175938626668355,0.19497730993695192,0.20605499752947473,0.7261085055344457,0.8847973486769694,0.9680606431602684,1.0000000408443261,0.24195213762582268,2901,0.00033829499323410016,True,308
2017-12-29,60,cross_industry_strength_ratio,industry,auxiliary,2995,2995,2995,1.0,0.8274591727186688,0.1765265918513428,0.3267642406309682,0.7304637875733266,0.8838214790943694,0.971429108096356,1.000000043693016,0.24096532052302932,2940,0.0,True,308
2018-01-31,60,cross_industry_strength_ratio,industry,auxiliary,3026,3025,3025,1.0,0.8239233450124502,0.1872720304434161,0.2572890355448776,0.7357984504279949,0.8847863713410433,0.9690285643037847,1.0000000397612232,0.23323011387578985,2958,0.00033057851239669424,True,298
2018-02-28,60,cross_industry_strength_ratio,industry,auxiliary,2961,2948,2948,1.0,0.8238920615724277,0.19671024079441263,0.22078768451711384,0.7466691705365113,0.8824131768141645,0.9999999606347835,1.000000044030117,0.2533307900982722,2818,0.0013568521031207597,True,329
2018-03-30,60,cross_industry_strength_ratio,industry,auxiliary,3008,2999,2999,1.0,0.8128496069520174,0.19974175286625148,0.2148801750115403,0.7227224033778141,0.870878301886305,0.9817794515025526,1.0000000394022388,0.2590570481247385,2870,0.0030010003334444814,True,308
2018-04-27,60,cross_industry_strength_ratio,industry,auxiliary,3025,3015,3015,1.0,0.828263349986261,0.1955214186082888,0.16390959341942887,0.7487206725448028,0.8872704465270006,0.999999962516732,1.00000004095086,0.25127928997192917,2869,0.003648424543946932,True,324
2018-05-31,60,cross_industry_strength_ratio,industry,auxiliary,3097,3097,3097,1.0,0.809934069108599,0.2025200137927812,0.10773693800080542,0.721582489711768,0.8695718418585433,0.9694268223004945,1.0000000412388679,0.2478443325887265,3021,0.0006457862447529867,True,310
2018-06-29,60,cross_industry_strength_ratio,industry,auxiliary,3080,3077,3077,1.0,0.8201060535412225,0.19478015518629846,0.1694546232615533,0.7310064082037465,0.8814861770223474,0.9729867570137322,1.0000000428527318,0.24198034880998565,3007,0.00032499187520311994,True,326
2018-07-31,60,cross_industry_strength_ratio,industry,auxiliary,3166,3165,3165,1.0,0.8078794940245623,0.20523390408132924,0.13488488149591127,0.7144563277563211,0.8740492889205388,0.9628260405154726,1.0000000434657175,0.24836971275915154,3087,0.000631911532385466,True,311
2018-08-31,60,cross_industry_strength_ratio,industry,auxiliary,3263,3260,3260,1.0,0.8267781599839894,0.18922506757792965,0.18660246838750943,0.7455601395135694,0.8892752843303499,0.9662006280581863,1.0000000407188874,0.22064048854461693,3198,0.00030674846625766873,True,307
2018-09-28,60,cross_industry_strength_ratio,industry,auxiliary,3334,3333,3333,1.0,0.8122077151133557,0.1999861433887773,0.13470078779638942,0.7216786343006047,0.877301829248982,0.9614007468713635,1.0000000393920716,0.2397221125707587,3265,0.0006000600060006001,True,283
2018-10-31,60,cross_industry_strength_ratio,industry,auxiliary,3359,3358,3358,1.0,0.8366107447996954,0.1717275197934352,0.2988991381280871,0.7539173842359885,0.8965171625428108,0.966237442123105,1.0000000418325632,0.2123200578871165,3285,0.0002977963073257892,True,299
2018-11-30,60,cross_industry_strength_ratio,industry,auxiliary,3374,3372,3372,1.0,0.8441105765871554,0.16283597666960917,0.3207779955415781,0.7703695117972631,0.8972358751374689,0.9625012683759571,1.000000041325749,0.19213175657869397,3318,0.0,True,280
2018-12-28,60,cross_industry_strength_ratio,industry,auxiliary,3426,3425,3425,1.0,0.8397171388769606,0.1702969736089183,0.28025427504126915,0.7691202308105552,0.8937863976295928,0.9644752155277285,1.00000003925276,0.19535498471717327,3378,0.00029197080291970805,True,296
2019-01-31,60,cross_industry_strength_ratio,industry,auxiliary,3492,3492,3492,1.0,0.8250529216560335,0.18253091735795168,0.2244050065295754,0.7527707818490251,0.879913711549521,0.9570007114452017,1.0000000389909327,0.20422992959617658,3435,0.000286368843069874,True,278
2019-02-28,60,cross_industry_strength_ratio,industry,auxiliary,3522,3522,3522,1.0,0.8142249981306267,0.19459122651842795,0.14669060785931642,0.7335437266244551,0.8735768966400055,0.9581385114477587,1.0000000388906318,0.22459478482330364,3470,0.0008517887563884157,True,320
2019-03-29,60,cross_industry_strength_ratio,industry,auxiliary,3517,3513,3513,1.0,0.8253024990899028,0.18152574046293946,0.25675856886675863,0.7403702736509828,0.8823301671549747,0.9689199615666482,1.0000000404573501,0.22854968791566532,3428,0.0008539709649871904,True,327
2019-04-30,60,cross_industry_strength_ratio,industry,auxiliary,3515,3512,3512,1.0,0.813998793353685,0.17759832406277054,0.302457172126499,0.7098925851911322,0.8648043412201074,0.9550318735933006,1.0000000414138555,0.24513928840216836,3456,0.0005694760820045558,True,307
2019-05-31,60,cross_industry_strength_ratio,industry,auxiliary,3512,3512,3512,1.0,0.8165120212731642,0.17359560945673644,0.3207930442300821,0.7091360087471867,0.8665415168784457,0.9576641146323103,1.0000000382000578,0.24852810588512353,3450,0.0,True,305
2019-06-28,60,cross_industry_strength_ratio,industry,auxiliary,3528,3527,3527,1.0,0.8179229891680193,0.17631934216366432,0.3149895930935774,0.7192789907813508,0.870955033917469,0.9572851038439811,1.0000000382074585,0.2380061130626303,3475,0.0005670541536716756,True,277
2019-07-31,60,cross_industry_strength_ratio,industry,auxiliary,3548,3548,3548,1.0,0.8245698540074431,0.1694725658594092,0.35691902041172574,0.72868497411043,0.8797920694897671,0.9571887440394254,1.0000000391877986,0.22850376992899546,3514,0.0,True,275
2019-08-30,60,cross_industry_strength_ratio,industry,auxiliary,3566,3566,3566,1.0,0.8236950447834044,0.17021150899777412,0.33525967582216165,0.7380852124004595,0.8784250089624674,0.954643123813142,1.0000000402943634,0.21655791141268244,3543,0.0,True,253
2019-09-30,60,cross_industry_strength_ratio,industry,auxiliary,3588,3587,3587,1.0,0.8234766284842919,0.17623077550584135,0.31960352660110447,0.7431104854121734,0.8821056348624039,0.957239429880455,1.000000039565638,0.21412894446828157,3550,0.0,True,293
