factor_a,factor_b,window,valid_month_count,mean_rho,median_rho,mean_abs_rho,median_abs_rho,p90_abs_rho,share_abs_rho_ge_090,median_pair_obs
cross_industry_degree_ratio,neighbor_turnover_1m,60,137,0.2746252476053258,0.2794176139261665,0.2746252476053258,0.2794176139261665,0.3555346703169727,0.0,3853.0
cross_industry_degree_ratio,neighbor_turnover_1m,120,134,0.23067936375512552,0.2459526793006515,0.230703568488013,0.2459526793006515,0.3039651815463764,0.0,3915.5
cross_industry_degree_ratio,neighbor_turnover_1m,252,128,0.14173726845308945,0.14590515430190548,0.14224491431930225,0.14590515430190548,0.22985248092898938,0.0,3611.0
cross_industry_degree_ratio,new_neighbor_count_1m,60,137,-0.17499865390914657,-0.19031529455534338,0.18152345029678146,0.1903192501341484,0.2689933868027487,0.0,3853.0
cross_industry_degree_ratio,new_neighbor_count_1m,120,134,-0.14833731121417693,-0.1596544490561989,0.1664835509761753,0.16071036808867148,0.2470648754060149,0.0,3915.5
cross_industry_degree_ratio,new_neighbor_count_1m,252,128,-0.07754806766617918,-0.10130687286549117,0.1151577767180158,0.11350850106476529,0.21478311243377224,0.0,3611.5
cross_industry_degree_ratio,outside_community_degree_percentile,60,138,-0.05787370795924109,-0.06225324158867972,0.08781905464672148,0.07693306511179218,0.17873236494667674,0.0,3892.5
cross_industry_degree_ratio,outside_community_degree_percentile,120,135,-0.05601702227392134,-0.05931664569801887,0.10696291881478796,0.10253060498512918,0.21105502168611082,0.0,3944.0
cross_industry_degree_ratio,outside_community_degree_percentile,252,129,0.008371722630668516,-0.012775388195503536,0.12189093072805664,0.10581820884444343,0.22635335640387666,0.0,3621.0
cross_industry_degree_ratio,outside_community_degree_ratio,60,138,0.1832672383017736,0.19666260837415334,0.19549228365057464,0.19851944891689877,0.3244348477126206,0.0,3892.5
cross_industry_degree_ratio,outside_community_degree_ratio,120,135,0.15919628721550866,0.17317180836570611,0.1794868316740692,0.17363594591533626,0.3062685265714392,0.0,3944.0
cross_industry_degree_ratio,outside_community_degree_ratio,252,129,0.12347912780223373,0.1425298503693739,0.13606633378760385,0.1425298503693739,0.25357800077251486,0.0,3621.0
cross_industry_degree_ratio,outside_community_strength_percentile,60,138,-0.060107597401748494,-0.06438690365412783,0.08935089601630065,0.07829522485479644,0.18266353573323674,0.0,3892.5
cross_industry_degree_ratio,outside_community_strength_percentile,120,135,-0.058666059492939425,-0.06287045325143255,0.10891133578641259,0.10115593322372454,0.21738915163363431,0.0,3944.0
cross_industry_degree_ratio,outside_community_strength_percentile,252,129,0.005655708589133113,-0.01491136461910248,0.12235039263657889,0.1071939862734246,0.2272641291864313,0.0,3621.0
cross_industry_degree_ratio,participation_coefficient_percentile,60,138,0.17900373426876665,0.1933227237839294,0.1924790369733163,0.1953481913041506,0.3268690418835885,0.0,3892.5
cross_industry_degree_ratio,participation_coefficient_percentile,120,135,0.15358497363228357,0.16438788516407615,0.17506945093889867,0.16870029823722013,0.2993199922306111,0.0,3944.0
cross_industry_degree_ratio,participation_coefficient_percentile,252,129,0.1206396435794883,0.1466017478118517,0.1360617505063638,0.1466017478118517,0.25233317511555226,0.0,3621.0
cross_industry_degree_ratio,weighted_participation_coefficient_percentile,60,138,0.18530940041841593,0.19991851555709778,0.19836210285706604,0.20274769372595303,0.33019170239930823,0.0,3892.5
cross_industry_degree_ratio,weighted_participation_coefficient_percentile,120,135,0.16126766013103155,0.17430110059664322,0.18200596924410573,0.17799725764570912,0.3077861297126529,0.0,3944.0
cross_industry_degree_ratio,weighted_participation_coefficient_percentile,252,129,0.12559110424000675,0.1510071309107073,0.13806466359826625,0.1510071309107073,0.25389640000053065,0.0,3621.0
cross_industry_degree_ratio,within_community_degree_percentile,60,138,-0.30477743661246826,-0.32013354792334114,0.30842877615440156,0.32013354792334114,0.3905541766897083,0.0,3892.5
cross_industry_degree_ratio,within_community_degree_percentile,120,135,-0.29362331982786083,-0.31677764164342426,0.30192142945496153,0.31677764164342426,0.37930754790397114,0.0,3944.0
cross_industry_degree_ratio,within_community_degree_percentile,252,129,-0.20412799765946318,-0.23457560392298427,0.21399474996783135,0.23457560392298427,0.32092271389078336,0.0,3621.0
cross_industry_degree_ratio,within_community_strength_percentile,60,138,-0.31107241885044296,-0.3278872721299577,0.3145247258274042,0.3278872721299577,0.3975056662740149,0.0,3892.5
cross_industry_degree_ratio,within_community_strength_percentile,120,135,-0.3016239587522733,-0.3263282306543934,0.30936605568046144,0.3263282306543934,0.3866389712997289,0.0,3944.0
cross_industry_degree_ratio,within_community_strength_percentile,252,129,-0.21257481561453745,-0.24246602163539221,0.2210816206823213,0.24246602163539221,0.3323661472426552,0.0,3621.0
cross_industry_strength_percentile,community_diversity_count,60,138,0.41571020718981394,0.41134446440241246,0.41571020718981394,0.41134446440241246,0.6123785375370551,0.0,4017.0
cross_industry_strength_percentile,community_diversity_count,120,135,0.5376715884774351,0.5149333438990561,0.5376715884774351,0.5149333438990561,0.7233127651204045,0.0,3971.0
cross_industry_strength_percentile,community_diversity_count,252,129,0.6577011625721371,0.6609653394585958,0.6577011625721371,0.6609653394585958,0.7520737383700119,0.0,3829.0
cross_industry_strength_percentile,cross_industry_degree_ratio,60,138,0.030584787074630287,0.016913881855424515,0.10114682762670647,0.0895767633542906,0.21970188135645194,0.0,3892.5
cross_industry_strength_percentile,cross_industry_degree_ratio,120,135,0.07805388381969383,0.03818476473055028,0.13103389605558166,0.09372602417849109,0.31882398643102444,0.0,3944.0
cross_industry_strength_percentile,cross_industry_degree_ratio,252,129,0.21340630805805416,0.19168104568028113,0.2213263788935795,0.19168104568028113,0.4794884228852895,0.0,3621.0
cross_industry_strength_percentile,cross_industry_strength_ratio,60,138,0.02026183415184348,0.008075038252642943,0.10051833225590756,0.08676441786521522,0.21517515461703854,0.0,3892.5
cross_industry_strength_percentile,cross_industry_strength_ratio,120,135,0.06325069596820002,0.023431112538217756,0.1299231659389096,0.09609689151381942,0.3103955841704424,0.0,3944.0
cross_industry_strength_percentile,cross_industry_strength_ratio,252,129,0.19535583827787265,0.1813965169382447,0.20774343440560872,0.1813965169382447,0.46810338406323876,0.0,3621.0
cross_industry_strength_percentile,delta_cross_industry_degree_percentile_1m,60,137,0.373625595194582,0.3697720845616956,0.37459127965322847,0.3697720845616956,0.45636722064103125,0.0,3989.0
cross_industry_strength_percentile,delta_cross_industry_degree_percentile_1m,120,134,0.23725104831881474,0.23849692569508096,0.2393469723811039,0.23849692569508096,0.3137553169559648,0.0,3943.5
cross_industry_strength_percentile,delta_cross_industry_degree_percentile_1m,252,128,0.15253595586873095,0.1454425219172189,0.1585523908134812,0.1463579088272715,0.23289900344253028,0.0,3816.5
cross_industry_strength_percentile,delta_cross_industry_degree_ratio_1m,60,137,0.10895402569770438,0.10524310029330908,0.10900657411250465,0.10524310029330908,0.17268547943327683,0.0,3790.0
cross_industry_strength_percentile,delta_cross_industry_degree_ratio_1m,120,134,0.09917414255246604,0.08979700792736481,0.09997397851755795,0.08979700792736481,0.16814040653728435,0.0,3898.0
cross_industry_strength_percentile,delta_cross_industry_degree_ratio_1m,252,128,0.08070870097380976,0.08117413348420154,0.08546325568809993,0.08117413348420154,0.14660506177354474,0.0,3539.0
cross_industry_strength_percentile,delta_residual_degree_percentile_1m,60,137,0.3463316263678226,0.33666653835727106,0.34648880705055474,0.33666653835727106,0.44097362974997356,0.0,3989.0
cross_industry_strength_percentile,delta_residual_degree_percentile_1m,120,134,0.2126739872542558,0.2038716793872193,0.2128718796631396,0.2038716793872193,0.30696911316340625,0.0,3943.5
cross_industry_strength_percentile,delta_residual_degree_percentile_1m,252,128,0.1268983452228136,0.1189268743474523,0.13018816558915322,0.11962104170083218,0.21000408259665837,0.0,3816.5
cross_industry_strength_percentile,delta_residual_strength_percentile_1m,60,137,0.34589993467755903,0.33545100393684124,0.34597940322750337,0.33545100393684124,0.44242760098867473,0.0,3989.0
