regime_type,sample_scope,factor_name,window,low_n,high_n,mean_high_minus_low_yi,median_high_minus_low_yi,zero_share_high_minus_low,hac_se_yi,hac_t,p_nominal,small_sample,q_bh
RECONFIG,COMMON_DATE,delta_degree_percentile,120,29,31,-0.5304327859569771,2.111546809710811,0.0,1.9949649980840058,-0.2658857606356065,0.790327191860728,False,0.9963603540020345
RECONFIG,COMMON_DATE,outside_community_degree_percentile,120,29,31,0.1617317344129905,2.0689277154813954,0.0,1.8239613601360651,0.08867059245209313,0.9293437042741569,False,0.9963603540020345
RECONFIG,COMMON_DATE,residual_degree_percentile,120,29,31,-0.36011175154301966,0.9810401918882778,0.0,1.7876021277330691,-0.20144961004252776,0.8403470270154192,False,0.9963603540020345
RECONFIG,COMMON_DATE,delta_cross_industry_degree_percentile_1m,120,29,31,-0.09027105859651563,1.3607198837305994,0.0,1.7446987586348284,-0.051740197641425435,0.9587357070324153,False,0.9963603540020345
RECONFIG,COMMON_DATE,delta_residual_degree_percentile_1m,120,29,31,0.007963276573203615,1.7182502554178125,0.0,1.745706422915717,0.004561635604171735,0.9963603540020345,False,0.9963603540020345
RECONFIG,COMMON_DATE,neighbor_jaccard_1m,120,29,31,-0.057880744598270084,0.9329468404114394,0.0,1.6346733867371464,-0.03540814028532126,0.9717542937745538,False,0.9963603540020345
RECONFIG,COMMON_DATE,neighbor_retention_1m,120,29,31,-0.2469860928334704,1.1675034939457447,0.0,1.6307831563947595,-0.1514524428738232,0.8796188230956571,False,0.9963603540020345
RECONFIG,COMMON_DATE,cross_industry_degree_percentile,252,29,38,-1.3577563294729487,-0.3624885524313495,0.0,1.968668458730512,-0.6896825737475839,0.49039382693247247,False,0.9963603540020345
RECONFIG,COMMON_DATE,cross_industry_degree_ratio,252,29,38,-0.9610960226009944,0.4276059200172142,0.0,1.652521207032475,-0.5815937601956034,0.5608403468998335,False,0.9963603540020345
RECONFIG,COMMON_DATE,delta_degree_percentile,252,29,38,-1.3319183980147002,-0.19418656762219122,0.0,1.955109785778673,-0.681249926578537,0.4957133615784193,False,0.9963603540020345
RECONFIG,COMMON_DATE,outside_community_degree_percentile,252,29,38,-1.1921826331094252,-0.9226246805803342,0.0,1.8416790212020469,-0.6473346437596377,0.5174153846040097,False,0.9963603540020345
RECONFIG,COMMON_DATE,residual_degree_percentile,252,29,38,-0.8624959099471639,-0.9062542380876906,0.0,1.9525321361148762,-0.4417319920087704,0.6586831563673209,False,0.9963603540020345
RECONFIG,COMMON_DATE,delta_cross_industry_degree_percentile_1m,252,29,38,-0.7857530648132016,0.33425429771459036,0.0,1.7860684005711311,-0.43993447538847974,0.6599845655002556,False,0.9963603540020345
RECONFIG,COMMON_DATE,delta_residual_degree_percentile_1m,252,29,38,-0.5898662193303803,0.3496506997077571,0.0,1.7166434873748313,-0.34361602957666554,0.7311350681250356,False,0.9963603540020345
RECONFIG,COMMON_DATE,neighbor_jaccard_1m,252,29,38,-0.2253890418552107,0.31265817469803103,0.0,1.511890321328188,-0.1490776405375805,0.8814923689861425,False,0.9963603540020345
RECONFIG,COMMON_DATE,neighbor_retention_1m,252,29,38,-0.5136324763199802,-0.026421378581833466,0.0,1.4784188891431689,-0.3474201257112324,0.728275715736211,False,0.9963603540020345
