config_id,description,return_column,stock_valid_ratio,pair_valid_ratio,analysis_date,window,eligible_stock_count,exact_same_pair_share,market_r2_median,raw_mean_corr,raw_same_cross_gap,raw_top1_same_enrichment,residual_mean_corr,residual_same_cross_gap,residual_top1_same_enrichment,raw_residual_top1_overlap,residual_gap_positive,residual_enrichment_gt_1
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2022-12-30,252,4568,0.05098212755252886,0.274888323532556,0.27194184237671143,0.10943883333889054,5.9824886610655215,0.0016394803885466684,0.12551067426762566,9.513137706940256,0.33,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2023-12-29,252,4861,0.0531454263928149,0.17639979456264557,0.17713388596832705,0.13282060614837493,7.620599315668578,0.003264960149626771,0.14799432022414993,10.160799087558104,0.505,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2024-12-31,252,5043,0.05418273927130289,0.45073133599621495,0.42336820881150555,0.08491221520041986,3.3220911755440614,0.0015066091624263128,0.10715654720211557,5.629098936338548,0.24,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2025-12-31,252,5094,0.055051888813880435,0.26183761618371715,0.25468446871062494,0.09248088606737034,4.359523445442401,0.0015536255455620319,0.10070365943257988,7.538342624410817,0.305,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2026-09-03,252,5125,0.05562963386074142,0.21349662206940456,0.20418018563987264,0.10666221487222749,5.6624496358999,0.005925675980329825,0.11065834342559519,7.280292389014157,0.53,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2015-12-31,60,2279,0.05050271960539044,0.464303989853356,0.4405600246067484,0.03859146888766357,3.6001661541960868,0.0032817777955615624,0.052930307452667566,3.0001384618300726,0.3838383838383838,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2016-12-30,60,2654,0.049574055731933624,0.3089302256253478,0.293693684524255,0.04331380528492995,2.4327849173270133,0.0032169818252536135,0.03744196187523633,3.1423471848807254,0.23115577889447236,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2017-12-29,60,3110,0.04996054396581236,0.30486411421107706,0.27740104397263277,0.04432045195748985,1.6012635902191823,0.003134783408618926,0.049341537145846354,3.60284307799316,0.21608040201005024,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2018-12-28,60,3475,0.04994271939960985,0.5051372667262268,0.4770112383481411,0.02706263934120179,2.402752622255836,-0.001303737539008125,0.05219639285911306,2.8032113926318094,0.165,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2019-12-31,60,3673,0.05115006343766293,0.23545513965628964,0.23139500972616983,0.0447749961603805,2.834796093199628,0.005001486615587698,0.05460123132167149,3.323554040303012,0.355,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2020-12-31,60,4040,0.05296514920122861,0.21531564380913804,0.21059626772235515,0.05170857498110448,3.3040594171674793,0.002868450160191499,0.05942297259669933,4.720084881667828,0.37,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2021-12-31,60,4511,0.05012216995066507,0.12295692058982174,0.1218786595214731,0.08542504658192746,3.890493970870321,0.0005460333893183151,0.08879810881692977,6.085131595463834,0.46,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2022-12-30,60,4843,0.05231156283339828,0.23295415699794264,0.2345477790393271,0.14556253851252518,5.352545113051645,0.0015844332867322175,0.17217645945602322,7.742074181378272,0.33,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2023-12-29,60,5069,0.054034435290232365,0.2667371126985563,0.24735054894766068,0.14092769273333597,5.5520150879457795,0.002171716441875704,0.16887776145916,7.4952203687268035,0.47,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2024-12-31,60,5098,0.0545398092232348,0.43337363310391575,0.4082679088351782,0.08176447461250852,3.1169892674941257,0.004285370303620609,0.10640607209239328,4.858836211093784,0.295,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2025-12-31,60,5152,0.05526432484315293,0.20067292350464122,0.19496651068744203,0.09853767773683686,3.7094454800961674,0.005080947031906592,0.10092499018446886,5.609405360145424,0.46,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2026-09-03,60,5195,0.055880498820916856,0.25284495394074635,0.23423074554718964,0.12712587008243315,3.489589465278874,0.015962437245118356,0.13426985238182307,4.652785953705165,0.51,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2015-12-31,120,2048,0.05028366588299951,0.6560375087400554,0.6215597367986655,0.035932192422740816,2.141695634182423,0.0028410320713457057,0.056929814780484575,3.5694927236373712,0.2,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2016-12-30,120,2531,0.04912242345118163,0.2964239000588023,0.2870008131606359,0.040097125852964044,3.2900689799390177,0.0018069365187647114,0.039541399537465216,4.626659503039243,0.26262626262626265,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2017-12-29,120,2961,0.049832050895880685,0.28336170625051915,0.2645572987888268,0.046353356568536785,3.831966985832642,0.002460984887397638,0.04959137328178815,5.848791715218243,0.271356783919598,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2018-12-28,120,3394,0.05034838095208322,0.42967678222719163,0.4132771112726834,0.03701191830309464,2.879933718980897,0.0004279922432918315,0.05316809387882799,5.362635200860981,0.17,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2019-12-31,120,3653,0.051144627785711695,0.2696706564896195,0.25799193312780383,0.03758833222591851,2.835097375378861,0.002650297868993779,0.060426273145203775,5.279146836912362,0.285,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2020-12-31,120,3906,0.052480933171528354,0.25775616212805996,0.2507663185980334,0.05304642421493558,3.81090784621381,0.00015878380353564762,0.06228102045079863,5.049452896233298,0.425,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2021-12-31,120,4422,0.049711345393081474,0.13702888094385907,0.13724891237153125,0.09563663566197464,5.733097701267698,0.0030155661476584193,0.10549214009163849,7.644130268356932,0.485,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,2022-12-30,120,4752,0.05185015098717477,0.2402397024947862,0.2353746929637996,0.12170239723036866,5.496608873337616,0.002000006374547686,0.14614751541710647,8.293129177316404,0.445,True,True
