analysis_date,window,next_analysis_date,is_last_date,expected_rows,actual_rows,expected_trade_days,market_trade_day_count,market_date_coverage,min_market_stock_count,suspension_zero_stock_days,reopen_stock_days,reopen_return_recovered_stock_days,unresolved_open_missing_stock_days,unresolved_reopen_missing_stock_days,mean_return_coverage,return_label_valid_share,risk_label_valid_share,mean_suspended_days_per_stock,mean_unresolved_open_missing_days,row_count_ok,key_unique,security_unique,coverage_range_ok,last_date_policy_ok,forward_direction_ok,market_calendar_ok,market_count_ok,reopen_recovery_ok,return_label_complete,risk_label_complete,vol_nonnegative,drawdown_range_ok,total_return_range_ok,qa_pass,qa_errors
2018-07-31,120,2018-08-31,False,3020,3020,23,23,1.0,3534.0,129,11,11,0,0,1.0,1.0,1.0,0.04271523178807947,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2018-08-31,120,2018-09-28,False,3102,3102,19,19,1.0,3540.0,244,15,15,0,0,1.0,1.0,1.0,0.07865892972275951,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2018-09-28,120,2018-10-31,False,3146,3146,18,18,1.0,3551.0,248,21,21,0,0,1.0,1.0,1.0,0.07883026064844247,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2018-10-31,120,2018-11-30,False,3207,3207,22,22,1.0,3556.0,254,37,37,0,0,1.0,1.0,1.0,0.07920174618023075,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2018-11-30,120,2018-12-28,False,3273,3273,20,20,1.0,3564.0,107,27,27,0,0,0.9999847234952642,1.0,1.0,0.03269172013443324,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2018-12-28,120,2019-01-31,False,3343,3343,22,22,1.0,3566.0,118,24,24,0,0,1.0,1.0,1.0,0.03529763685312594,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2019-01-31,120,2019-02-28,False,3389,3389,15,15,1.0,3582.0,94,10,10,0,0,1.0,1.0,1.0,0.02773679551490115,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2019-02-28,120,2019-03-29,False,3422,3422,21,21,1.0,3588.0,270,44,44,0,0,1.0,1.0,1.0,0.07890122735242548,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2019-03-29,120,2019-04-30,False,3470,3470,21,21,1.0,3599.0,355,116,116,0,0,1.0,1.0,1.0,0.10230547550432277,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2019-04-30,120,2019-05-31,False,3516,3516,20,20,1.0,3609.0,375,65,65,0,0,1.0,1.0,1.0,0.10665529010238908,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2019-05-31,120,2019-06-28,False,3532,3532,19,19,1.0,3621.0,190,36,36,0,0,1.0,1.0,1.0,0.05379388448471121,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2019-06-28,120,2019-07-31,False,3546,3546,23,23,1.0,3629.0,183,38,38,0,0,1.0,1.0,1.0,0.051607445008460234,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2019-07-31,120,2019-08-30,False,3561,3561,22,22,1.0,3664.0,153,26,26,0,0,1.0,1.0,1.0,0.04296545914069082,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2019-08-30,120,2019-09-30,False,3570,3570,20,20,1.0,3679.0,132,35,35,0,0,1.0,1.0,1.0,0.03697478991596639,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2019-09-30,120,2019-10-31,False,3580,3580,18,18,1.0,3690.0,149,32,32,0,0,1.0,1.0,1.0,0.04162011173184357,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2019-10-31,120,2019-11-29,False,3594,3594,21,21,1.0,3704.0,164,44,44,0,0,1.0,1.0,1.0,0.045631608235948806,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2019-11-29,120,2019-12-31,False,3600,3600,22,22,1.0,3733.0,192,46,46,0,0,1.0,1.0,1.0,0.05333333333333334,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2019-12-31,120,2020-01-23,False,3635,3635,16,16,1.0,3759.0,133,31,31,0,0,1.0,1.0,1.0,0.03658872077028886,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
