analysis_date,window,eligible_stock_count,possible_unordered_pairs,density_fraction,density_percent,approximate_edge_count,approximate_mean_degree,is_primary_density,important_note
2019-07-31,60,3548,6292378,0.002,0.2,12584,7.093573844419391,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-07-31,60,3548,6292378,0.005,0.5,31461,17.734498308906428,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-07-31,60,3548,6292378,0.01,1.0,62923,35.4695603156708,True,Approximation only. Step 2 will use the exact common valid pair universe.
2019-07-31,60,3548,6292378,0.02,2.0,125847,70.93968432919955,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-08-30,60,3566,6356395,0.002,0.2,12712,7.129556926528323,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-08-30,60,3566,6356395,0.005,0.5,31781,17.8244531688166,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-08-30,60,3566,6356395,0.01,1.0,63563,35.649467190128995,True,Approximation only. Step 2 will use the exact common valid pair universe.
2019-08-30,60,3566,6356395,0.02,2.0,127127,71.29949523275378,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-09-30,60,3588,6435078,0.002,0.2,12870,7.173913043478261,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-09-30,60,3588,6435078,0.005,0.5,32175,17.934782608695652,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-09-30,60,3588,6435078,0.01,1.0,64350,35.869565217391305,True,Approximation only. Step 2 will use the exact common valid pair universe.
2019-09-30,60,3588,6435078,0.02,2.0,128701,71.7396878483835,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-10-31,60,3628,6579378,0.002,0.2,13158,7.253583241455347,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-10-31,60,3628,6579378,0.005,0.5,32896,18.134509371554575,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-10-31,60,3628,6579378,0.01,1.0,65793,36.26957001102536,True,Approximation only. Step 2 will use the exact common valid pair universe.
