analysis_date,window,density_fraction,degree_spearman_raw_residual,strength_spearman_raw_residual,median_abs_degree_percentile_change,p90_abs_degree_percentile_change,median_abs_strength_percentile_change,p90_abs_strength_percentile_change,top1pct_degree_hub_overlap,top1pct_degree_hub_jaccard,top1pct_strength_hub_overlap,top1pct_strength_hub_jaccard,top5pct_degree_hub_overlap,top5pct_degree_hub_jaccard,top5pct_strength_hub_overlap,top5pct_strength_hub_jaccard
2018-03-30,120,0.01,0.41387832636488586,0.4210478078442774,0.1861427128314972,0.5317131876945496,0.1844191551208496,0.53188556432724,0.0,0.0,0.0,0.0,0.0410958904109589,0.02097902097902098,0.02054794520547945,0.010380622837370242
2018-04-27,120,0.01,0.41985145643398813,0.42768472728663653,0.18252886831760406,0.5260027050971985,0.1799796223640442,0.525118887424469,0.0,0.0,0.0,0.0,0.013513513513513514,0.006802721088435374,0.006756756756756757,0.003389830508474576
2018-05-31,120,0.01,0.4082978967822075,0.4153522000548441,0.187120720744133,0.5316082239151001,0.18391773104667664,0.5280681252479553,0.0,0.0,0.0,0.0,0.04697986577181208,0.024054982817869417,0.04697986577181208,0.024054982817869417
2018-06-29,120,0.01,0.34583668924775407,0.3516753056549875,0.20205248892307281,0.5573687553405762,0.2032301425933838,0.5560900568962097,0.0,0.0,0.0,0.0,0.06711409395973154,0.034722222222222224,0.053691275167785234,0.027586206896551724
2018-07-31,120,0.01,0.3793552619941375,0.38152984027338394,0.19726821780204773,0.5551324486732483,0.19801324605941772,0.5520198345184326,0.0,0.0,0.0,0.0,0.09933774834437085,0.05226480836236934,0.09933774834437085,0.05226480836236934
2018-08-31,120,0.01,0.4295364124961063,0.43219342369379726,0.18810445070266724,0.5227110981941223,0.1883462518453598,0.5180366635322571,0.03125,0.015873015873015872,0.03125,0.015873015873015872,0.10897435897435898,0.0576271186440678,0.10897435897435898,0.0576271186440678
2018-09-28,120,0.01,0.4502684169278601,0.45174004285671854,0.1849968433380127,0.5056421160697937,0.18897011876106262,0.5067546367645264,0.0625,0.03225806451612903,0.03125,0.015873015873015872,0.0949367088607595,0.04983388704318937,0.08227848101265822,0.0429042904290429
2018-10-31,120,0.01,0.39449731596685933,0.39393041955964325,0.19550980627536774,0.5395070910453796,0.19738072156906128,0.5410040616989136,0.09090909090909091,0.047619047619047616,0.06060606060606061,0.03125,0.07453416149068323,0.03870967741935484,0.049689440993788817,0.025477707006369428
2018-11-30,120,0.01,0.3437618395188575,0.3450216666921152,0.2082187533378601,0.5563397407531738,0.20898258686065674,0.5558508634567261,0.030303030303030304,0.015384615384615385,0.0,0.0,0.036585365853658534,0.018633540372670808,0.024390243902439025,0.012345679012345678
2018-12-28,120,0.01,0.3806825172055311,0.383134461955096,0.20101705193519592,0.534400224685669,0.20370924472808838,0.5341309309005737,0.0,0.0,0.0,0.0,0.07142857142857142,0.037037037037037035,0.041666666666666664,0.02127659574468085
2019-01-31,120,0.01,0.3474147808587128,0.3517544883586972,0.2038949579000473,0.5522868037223816,0.2038949728012085,0.5527294278144836,0.0,0.0,0.0,0.0,0.041176470588235294,0.021021021021021023,0.023529411764705882,0.011904761904761904
2019-02-28,120,0.01,0.3169203582950914,0.32219783029080157,0.20616599917411804,0.5733196139335632,0.20382818579673767,0.5728225111961365,0.0,0.0,0.0,0.0,0.05813953488372093,0.029940119760479042,0.046511627906976744,0.023809523809523808
2019-03-29,120,0.01,0.30219211297045,0.3093420863569865,0.20857352018356323,0.572838544845581,0.20806917548179626,0.5726800560951233,0.0,0.0,0.0,0.0,0.06896551724137931,0.03571428571428571,0.06896551724137931,0.03571428571428571
2019-04-30,120,0.01,0.3449956752695291,0.35406347193082843,0.19894766807556152,0.5617889761924744,0.1980944126844406,0.5561717748641968,0.0,0.0,0.027777777777777776,0.014084507042253521,0.10795454545454546,0.057057057057057055,0.11931818181818182,0.0634441087613293
2019-05-31,120,0.01,0.32669437563891685,0.33515465846803283,0.20087769627571106,0.5725792050361633,0.2042752057313919,0.5733295679092407,0.0,0.0,0.0,0.0,0.12429378531073447,0.06626506024096386,0.13559322033898305,0.07272727272727272
2019-06-28,120,0.01,0.3360240763857442,0.34684613634575945,0.21037788689136505,0.5673294067382812,0.20473775267601013,0.5616186857223511,0.0,0.0,0.0,0.0,0.11797752808988764,0.0626865671641791,0.11797752808988764,0.0626865671641791
