window_id,window_start,window_end,network_date,code,name,industry,degree,strength
16,2024-04-02,2025-04-17,2025-04-17,600887,伊利股份,食品饮料,9,0.7061162233342034
16,2024-04-02,2025-04-17,2025-04-17,002460,赣锋锂业,新能源,9,0.6580852477975984
16,2024-04-02,2025-04-17,2025-04-17,002415,海康威视,电子,9,0.885359109565271
16,2024-04-02,2025-04-17,2025-04-17,000725,京东方A,电子,9,0.8121825928241067
16,2024-04-02,2025-04-17,2025-04-17,603501,韦尔股份,电子,5,0.8205339813335282
16,2024-04-02,2025-04-17,2025-04-17,002475,立讯精密,电子,5,0.5844524504414514
16,2024-04-02,2025-04-17,2025-04-17,601318,中国平安,非银金融,10,1.1394673942653781
16,2024-04-02,2025-04-17,2025-04-17,600030,中信证券,非银金融,9,0.7830267516531028
17,2024-05-07,2025-05-20,2025-05-20,000001,平安银行,银行,8,0.9467603259863184
17,2024-05-07,2025-05-20,2025-05-20,600036,招商银行,银行,5,0.8258751648551677
17,2024-05-07,2025-05-20,2025-05-20,601398,工商银行,银行,3,0.8492583797814883
17,2024-05-07,2025-05-20,2025-05-20,601288,农业银行,银行,4,0.716385936616695
17,2024-05-07,2025-05-20,2025-05-20,600519,贵州茅台,食品饮料,7,0.92709473640007
17,2024-05-07,2025-05-20,2025-05-20,000858,五粮液,食品饮料,9,1.1384591611049322
17,2024-05-07,2025-05-20,2025-05-20,000568,泸州老窖,食品饮料,8,1.0092419990380619
17,2024-05-07,2025-05-20,2025-05-20,600887,伊利股份,食品饮料,9,0.6840727125755028
17,2024-05-07,2025-05-20,2025-05-20,002460,赣锋锂业,新能源,9,0.6758499856448079
17,2024-05-07,2025-05-20,2025-05-20,002415,海康威视,电子,10,0.8972484405635454
17,2024-05-07,2025-05-20,2025-05-20,000725,京东方A,电子,9,0.8416825615603496
17,2024-05-07,2025-05-20,2025-05-20,603501,韦尔股份,电子,5,0.7917463157024034
17,2024-05-07,2025-05-20,2025-05-20,002475,立讯精密,电子,5,0.5553223732510763
17,2024-05-07,2025-05-20,2025-05-20,601318,中国平安,非银金融,10,1.106554715211522
17,2024-05-07,2025-05-20,2025-05-20,600030,中信证券,非银金融,9,0.7945461218939155
18,2024-06-04,2025-06-18,2025-06-18,000001,平安银行,银行,8,0.9226938250988208
18,2024-06-04,2025-06-18,2025-06-18,600036,招商银行,银行,5,0.8329573476724896
18,2024-06-04,2025-06-18,2025-06-18,601398,工商银行,银行,3,0.8395172905433974
18,2024-06-04,2025-06-18,2025-06-18,601288,农业银行,银行,4,0.7302912852487953
18,2024-06-04,2025-06-18,2025-06-18,600519,贵州茅台,食品饮料,7,0.9428103385893003
18,2024-06-04,2025-06-18,2025-06-18,000858,五粮液,食品饮料,9,1.129677449874828
18,2024-06-04,2025-06-18,2025-06-18,000568,泸州老窖,食品饮料,8,1.0156918143437175
18,2024-06-04,2025-06-18,2025-06-18,600887,伊利股份,食品饮料,8,0.6818226337356392
18,2024-06-04,2025-06-18,2025-06-18,002460,赣锋锂业,新能源,9,0.6705640907955126
18,2024-06-04,2025-06-18,2025-06-18,002415,海康威视,电子,9,0.8910227905587127
18,2024-06-04,2025-06-18,2025-06-18,000725,京东方A,电子,9,0.8646093428395639
18,2024-06-04,2025-06-18,2025-06-18,603501,韦尔股份,电子,5,0.8006354329968989
18,2024-06-04,2025-06-18,2025-06-18,002475,立讯精密,电子,5,0.5656711815701001
18,2024-06-04,2025-06-18,2025-06-18,601318,中国平安,非银金融,10,1.1099628234281007
18,2024-06-04,2025-06-18,2025-06-18,600030,中信证券,非银金融,9,0.7853102778826551
19,2024-07-03,2025-07-16,2025-07-16,000001,平安银行,银行,9,0.8909575653112584
19,2024-07-03,2025-07-16,2025-07-16,600036,招商银行,银行,5,0.842500774864587
19,2024-07-03,2025-07-16,2025-07-16,601398,工商银行,银行,3,0.8276072208183468
19,2024-07-03,2025-07-16,2025-07-16,601288,农业银行,银行,3,0.7418240786631224
19,2024-07-03,2025-07-16,2025-07-16,600519,贵州茅台,食品饮料,8,0.9875417951957053
19,2024-07-03,2025-07-16,2025-07-16,000858,五粮液,食品饮料,9,1.1257712276830019
19,2024-07-03,2025-07-16,2025-07-16,000568,泸州老窖,食品饮料,8,1.0051564789804064
19,2024-07-03,2025-07-16,2025-07-16,600887,伊利股份,食品饮料,8,0.678082070962826
19,2024-07-03,2025-07-16,2025-07-16,002460,赣锋锂业,新能源,8,0.6441568168315193
19,2024-07-03,2025-07-16,2025-07-16,002415,海康威视,电子,9,0.9306608799632972
19,2024-07-03,2025-07-16,2025-07-16,000725,京东方A,电子,9,0.8667630412331897
19,2024-07-03,2025-07-16,2025-07-16,603501,韦尔股份,电子,5,0.8030248219213446
19,2024-07-03,2025-07-16,2025-07-16,002475,立讯精密,电子,5,0.5726632699933936
19,2024-07-03,2025-07-16,2025-07-16,601318,中国平安,非银金融,10,1.102336825431832
19,2024-07-03,2025-07-16,2025-07-16,600030,中信证券,非银金融,9,0.7724230639638942
20,2024-07-31,2025-08-13,2025-08-13,000001,平安银行,银行,8,0.890163165781248
20,2024-07-31,2025-08-13,2025-08-13,600036,招商银行,银行,5,0.8277978724789337
20,2024-07-31,2025-08-13,2025-08-13,601398,工商银行,银行,3,0.8295879492940232
20,2024-07-31,2025-08-13,2025-08-13,601288,农业银行,银行,3,0.724633290862711
20,2024-07-31,2025-08-13,2025-08-13,600519,贵州茅台,食品饮料,8,0.9787591127797832
20,2024-07-31,2025-08-13,2025-08-13,000858,五粮液,食品饮料,9,1.1251537739707265
20,2024-07-31,2025-08-13,2025-08-13,000568,泸州老窖,食品饮料,9,1.0041317939629892
20,2024-07-31,2025-08-13,2025-08-13,600887,伊利股份,食品饮料,8,0.6727357118570033
20,2024-07-31,2025-08-13,2025-08-13,002460,赣锋锂业,新能源,9,0.6173049125917068
20,2024-07-31,2025-08-13,2025-08-13,002415,海康威视,电子,9,0.8751971881479395
