analysis_date,window,factor_name,n,nonmissing_count,missing_share,mean,std,p01,p05,median,p95,p99
2021-05-31,60,neighbor_jaccard_1m,4160,4123,0.008894230769230769,0.22103240947525132,0.1667945838836529,0.0,0.0,0.19230769230769232,0.5333018867924527,0.6583953786906289
2021-06-30,60,neighbor_jaccard_1m,4199,4144,0.013098356751607526,0.2029547439314192,0.15287413511765074,0.0,0.0,0.17543859649122806,0.4933611164954448,0.616110827374871
2021-07-30,60,neighbor_jaccard_1m,4256,4188,0.015977443609022556,0.1788476081681896,0.14742477917535354,0.0,0.0,0.14285714285714285,0.46936185011302367,0.6062480361022898
2021-08-31,60,neighbor_jaccard_1m,4309,4251,0.013460199582269667,0.19104954093611218,0.1492672874148912,0.0,0.0,0.15942028985507245,0.48148148148148145,0.5783132530120482
2021-09-30,60,neighbor_jaccard_1m,4360,4300,0.013761467889908258,0.21052682326444955,0.1644423109164575,0.0,0.0,0.17647058823529413,0.5283871362191244,0.6439949632182388
2021-10-29,60,neighbor_jaccard_1m,4398,4349,0.011141427921782628,0.287536451165334,0.19216645258233414,0.0,0.0,0.2702702702702703,0.6182884921632719,0.7179512512187193
2021-11-30,60,neighbor_jaccard_1m,4432,4391,0.009250902527075812,0.2256997905512248,0.18681343011046034,0.0,0.0,0.1935483870967742,0.5714285714285714,0.6905007363770251
2021-12-31,60,neighbor_jaccard_1m,4472,4417,0.012298747763864044,0.1703295498757445,0.14066939730751757,0.0,0.0,0.14285714285714285,0.437267513050203,0.5357142857142857
2022-01-28,60,neighbor_jaccard_1m,4502,4459,0.009551310528653932,0.212412822434412,0.15561435527854875,0.0,0.0,0.1891891891891892,0.495923848878394,0.5904769001490313
2022-02-28,60,neighbor_jaccard_1m,4532,4496,0.00794351279788173,0.2931941279661513,0.20410066400270901,0.0,0.0,0.2727272727272727,0.6539066279632317,0.7545732838589982
2022-03-31,60,neighbor_jaccard_1m,4578,4515,0.013761467889908258,0.19753047522571768,0.17281595306149555,0.0,0.0,0.16,0.5249486803519061,0.6145657630522088
2022-04-29,60,neighbor_jaccard_1m,4602,4557,0.009778357235984355,0.20452708175236392,0.17945659783551085,0.0,0.0,0.16666666666666666,0.5330983847283407,0.6284818395610133
2022-05-31,60,neighbor_jaccard_1m,4568,4546,0.004816112084063047,0.29843686594689073,0.20101908739616162,0.0,0.0,0.28846153846153844,0.6290529695024076,0.72
2022-06-30,60,neighbor_jaccard_1m,4602,4561,0.008909169926119079,0.25176408970275305,0.17812161011420238,0.0,0.0,0.23404255319148937,0.5684210526315789,0.659481961147086
2022-07-29,60,neighbor_jaccard_1m,4643,4594,0.010553521430109843,0.2013797103175125,0.15846794894479221,0.0,0.0,0.17832681017612523,0.4954234234234233,0.5979417707092162
2022-08-31,60,neighbor_jaccard_1m,4671,4627,0.009419824448726183,0.20127812215836385,0.1692235092333293,0.0,0.0,0.17307692307692307,0.52,0.6355869336143306
2022-09-30,60,neighbor_jaccard_1m,4709,4631,0.016564026332554684,0.2535726666312802,0.19190102620724772,0.0,0.0,0.25,0.5714285714285714,0.6952898550724635
2022-10-31,60,neighbor_jaccard_1m,4734,4642,0.019433882551753275,0.2559660424125043,0.20057360264922205,0.0,0.0,0.2474182902161184,0.6,0.730252206809584
2022-11-30,60,neighbor_jaccard_1m,4774,4683,0.01906158357771261,0.2143187844124843,0.18669148790978982,0.0,0.0,0.18518518518518517,0.5448489010989009,0.6613268425223596
2022-12-30,60,neighbor_jaccard_1m,4812,4713,0.02057356608478803,0.2734620506276904,0.19908688803737903,0.0,0.0,0.2727272727272727,0.6,0.6789022556390978
2023-01-31,60,neighbor_jaccard_1m,4838,4749,0.018396031417941296,0.2951610050602575,0.22574412960442305,0.0,0.0,0.28125,0.6802474226804122,0.8105984488945472
2023-02-28,60,neighbor_jaccard_1m,4853,4797,0.01153925406964764,0.2664976226101224,0.2180180324563261,0.0,0.0,0.23300970873786409,0.6470588235294118,0.7348294064236137
