factor_order,factor_name,target_name,target_role,window,year,month_count,mean_q5_minus_q1,median_q5_minus_q1,positive_spread_share,mean_portfolio_return_spearman,mean_q5_minus_q1_bps
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,2024,12,-0.017034868650367872,-0.014277219364384829,0.3333333333333333,-0.2666666666666666,-170.34868650367872
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,2025,12,-0.02048025494570268,-0.019445112694051945,0.16666666666666666,-0.5416666666666666,-204.8025494570268
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,2026,7,-0.014641350928937036,-0.020910906585451708,0.2857142857142857,-0.2714285714285714,-146.41350928937035
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,2016,12,-0.007573006679650519,-0.006756689425406068,0.4166666666666667,-0.19999999999999996,-75.7300667965052
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,2017,12,0.015144865694900388,0.02262461771760766,0.75,0.36666666666666664,151.4486569490039
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,2018,12,-0.009873667118519818,-0.0015914304398412134,0.3333333333333333,-0.1583333333333333,-98.73667118519818
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,2019,12,-0.000969842030174616,-0.0019601658798476685,0.3333333333333333,-0.06666666666666668,-9.69842030174616
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,2020,12,-0.003525522863586141,-0.004928642766382569,0.5,0.04166666666666665,-35.255228635861414
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,2021,12,-0.013771148561957906,-0.01480868114821866,0.25,-0.27499999999999997,-137.71148561957907
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,2022,12,-0.01345075003796005,-0.004935270928284243,0.4166666666666667,-0.041666666666666664,-134.5075003796005
