factor_order,factor_name,method,window,target_name,month_count,mean_value,median_value,std_value,positive_share,negative_share,hac_lag,hac_se,hac_t_stat,mean_q5_minus_q1_bps
6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,126,0.0004956239180800899,0.0010572666657106898,0.00904189632655105,0.5476190476190477,0.4523809523809524,4,0.0007568750661912785,0.6548292316909738,4.956239180800899
7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,252,future_excess_return,126,0.0034904516920418673,0.001560263410554005,0.016214592912053218,0.5952380952380952,0.40476190476190477,4,0.001213992218939901,2.8751845667428144,34.90451692041867
7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,126,0.0017012280332081018,0.0009745000301638867,0.011755530581967096,0.5476190476190477,0.4523809523809524,4,0.0011368942455459745,1.4963819544984287,17.01228033208102
8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,252,future_excess_return,126,0.00278219886509989,-3.944212676824325e-05,0.015243958818023283,0.49206349206349204,0.5079365079365079,4,0.001231162550100907,2.2598144045819613,27.821988650998904
8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,126,0.0015595494126456116,0.0003746483845835757,0.012169734858421998,0.5079365079365079,0.49206349206349204,4,0.00107682431568884,1.4482858437757087,15.595494126456115
9,outside_community_degree_percentile,RAW_COMMON,60,future_excess_return,113,-0.00168514599024275,0.0002311023008039093,0.03139281137081212,0.504424778761062,0.49557522123893805,4,0.0034288318404597186,-0.491463585457377,-16.8514599024275
7,neighbor_jaccard_1m,RAW_COMMON,252,future_excess_return,120,0.0024321012373961968,0.0032790388755390186,0.024003669223004176,0.575,0.425,4,0.0016743305743295495,1.4525812731873935,24.321012373961967
7,neighbor_jaccard_1m,RAW_COMMON,60,future_excess_return,116,-0.0007977641517479969,-0.0004306096969464183,0.024107461140395907,0.4827586206896552,0.5172413793103449,4,0.0019714012933079866,-0.4046685748132785,-7.977641517479969
8,neighbor_retention_1m,RAW_COMMON,60,future_excess_return,120,0.00031683222220284317,-0.0009513893101936256,0.02389439598340525,0.4666666666666667,0.5333333333333333,4,0.0016319614577621996,0.19414197602270225,3.1683222220284315
5,delta_residual_degree_percentile_1m,RAW_COMMON,252,future_excess_return,122,-0.0003191857248828601,0.0014359791126276969,0.015046635049152334,0.5491803278688525,0.45081967213114754,4,0.0012990047013990336,-0.2457156040613985,-3.191857248828601
6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,252,future_excess_return,121,-0.0002537915886078901,0.0009512488672583151,0.013849953730434957,0.5289256198347108,0.47107438016528924,4,0.0012577542029832548,-0.201781546828406,-2.537915886078901
9,outside_community_degree_percentile,RAW_COMMON,120,future_excess_return,91,-0.004060948780965013,-0.003377890596570572,0.030432766930071815,0.43956043956043955,0.5604395604395604,3,0.003465064400310304,-1.1719692080185715,-40.60948780965013
1,residual_degree_percentile,RAW_COMMON,252,future_excess_return,119,-0.0005583267288833699,0.0006609352746152074,0.030764111119319596,0.5210084033613446,0.4789915966386555,4,0.0024207106478651838,-0.23064579377785457,-5.583267288833699
3,cross_industry_degree_percentile,RAW_COMMON,252,future_excess_return,104,0.0007322952398276538,0.002780777458314971,0.029980736918433986,0.5384615384615384,0.46153846153846156,4,0.002688521020194928,0.2723784691757997,7.322952398276538
8,neighbor_retention_1m,RAW_COMMON,252,future_excess_return,105,0.0010707535702158765,0.0021430263096395255,0.02106869006364692,0.5428571428571428,0.45714285714285713,4,0.001385818988397346,0.7726503816015451,10.707535702158765
9,outside_community_degree_percentile,RAW_COMMON,252,future_excess_return,20,-0.0006427100096467287,0.0032807379724428066,0.02248057129719506,0.6,0.4,2,0.00618624555626404,-0.10389338796872304,-6.427100096467288
4,cross_industry_degree_ratio,RAW_COMMON,60,future_excess_return,80,0.0019296129393501457,0.002281408010083185,0.02121775753276691,0.5875,0.4125,3,0.0024226736309750857,0.7964807618653564,19.296129393501456
4,cross_industry_degree_ratio,RAW_COMMON,120,future_excess_return,80,0.0016066163549324016,0.0026203281953134554,0.022497524899975026,0.55,0.45,3,0.002312637492588424,0.6947117133927433,16.066163549324017
4,cross_industry_degree_ratio,RAW_COMMON,252,future_excess_return,75,-0.0014395273941908116,-0.0015787129949416927,0.021554205962974464,0.49333333333333335,0.5066666666666667,3,0.002172808427584047,-0.6625192427992498,-14.395273941908115
