analysis_date,window,factor_order,factor_name,method,target_name,common_sample_n,spread_status,q1_return,q2_return,q3_return,q4_return,q5_return,q5_minus_q1,q5_minus_q1_bps,portfolio_spearman
2015-08-31,60,1,residual_degree_percentile,RAW_COMMON,future_excess_return,1496,PASS,-0.0014864124992449161,-0.0006060915566727665,-0.002350432951968338,-0.008338246363946287,-0.01756271553291302,-0.016076303033668103,-160.76303033668103,-0.8999999999999998
2015-08-31,60,1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1496,PASS,-0.012227986074018083,-0.0026084007596273045,0.004263386941167891,-0.021995440538513166,0.0029566383005136224,0.015184624374531705,151.84624374531705,0.19999999999999998
2015-08-31,60,1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1496,PASS,-0.010295350372221792,0.00717753299365071,-0.00922554325415088,-0.006579702509075762,-0.010695202653233813,-0.00039985228101202183,-3.9985228101202184,-0.3
2015-08-31,60,2,delta_degree_percentile,RAW_COMMON,future_excess_return,1496,PASS,0.010399848699733358,-0.004924892830471324,-0.012762382333049691,-0.01642093885816015,-0.006418299116105878,-0.016818147815839235,-168.18147815839234,-0.7
2015-08-31,60,2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1496,PASS,-0.002163117957513701,-0.00587164486563012,-0.0114702194363846,-0.007581305891980868,-0.002559175745243673,-0.00039605778772997197,-3.9605778772997198,-0.3
2015-08-31,60,2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1496,PASS,-0.0019451146943610506,-0.0089838821827912,-0.014049970274059898,-0.0034844897121840174,-0.0011827361412603207,0.0007623785531007299,7.623785531007299,0.3
2015-08-31,60,3,cross_industry_degree_percentile,RAW_COMMON,future_excess_return,1496,PASS,-0.0015871745059137558,-0.0043701253492477625,0.0020766323942512073,-0.009169894795295131,-0.016110010542851095,-0.01452283603693734,-145.2283603693734,-0.7
2015-08-31,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1496,PASS,-0.013476863019903996,-0.0015772495410952742,0.005164936263637927,-0.01701778883479708,-0.002700660152345749,0.010776202867558246,107.76202867558246,-0.09999999999999999
2015-08-31,60,3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1496,PASS,-0.013295469407226463,0.010857605822324791,-0.010301235759110908,-0.004477149179967437,-0.012391983428125083,0.0009034859791013806,9.034859791013806,0.09999999999999999
2015-08-31,60,4,cross_industry_degree_ratio,RAW_COMMON,future_excess_return,1330,FEWER_THAN_5_PORTFOLIOS,,,,,,,,
