analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,status,previous_n,current_n,union_n,pass_drift_n,delist_cash_carry_n,pretrade_weight_sum,target_weight_sum,turnover,buy_weight,sell_weight,total_abs_trade_weight,trade_notional_per_100m_cny,trade_notional_per_1bn_cny
2024-11-29,2024-10-31,252,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,884,892,1123,884,0,1.0000000000000002,1.0,0.29728459410433467,0.29728459410433455,0.2972845941043347,0.5945691882086693,59456918.820866935,594569188.2086693
2024-11-29,2024-10-31,252,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,883,891,1102,883,0,1.0,1.0,0.275244199500856,0.275244199500856,0.275244199500856,0.550488399001712,55048839.9001712,550488399.001712
2024-11-29,2024-10-31,252,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1003,1005,1750,1003,0,1.0,0.9999999999999999,0.7545582838463987,0.7545582838463987,0.7545582838463988,1.5091165676927973,150911656.76927975,1509116567.6927974
2024-11-29,2024-10-31,252,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1003,1005,1751,1003,0,1.0,0.9999999999999998,0.759097181732324,0.7590971817323242,0.7590971817323242,1.518194363464648,151819436.34646478,1518194363.464648
2024-11-29,2024-10-31,252,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1005,1007,1194,1005,0,0.9999999999999999,1.0,0.22213973527931624,0.2221397352793163,0.2221397352793162,0.4442794705586325,44427947.05586325,444279470.5586325
2024-11-29,2024-10-31,252,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1005,1007,1219,1005,0,1.0,0.9999999999999999,0.24596255337637316,0.2459625533763731,0.24596255337637318,0.4919251067527463,49192510.67527463,491925106.7527463
2024-11-29,2024-10-31,252,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1003,1005,1756,1003,0,1.0,0.9999999999999999,0.758968458329231,0.7589684583292311,0.7589684583292311,1.517936916658462,151793691.6658462,1517936916.658462
2024-11-29,2024-10-31,252,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1003,1005,1739,1003,0,1.0000000000000002,0.9999999999999998,0.7484145050113472,0.7484145050113472,0.7484145050113473,1.4968290100226944,149682901.00226945,1496829010.0226943
2024-11-29,2024-10-31,252,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,905,910,1480,905,0,1.0,0.9999999999999999,0.6481853473904104,0.6481853473904103,0.6481853473904104,1.296370694780821,129637069.47808209,1296370694.7808208
2024-11-29,2024-10-31,252,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,905,910,1438,905,0,1.0,0.9999999999999998,0.6017592995228953,0.6017592995228955,0.6017592995228955,1.2035185990457906,120351859.90457906,1203518599.0457907
